rep,run,shelf,plate,line,trt,read time,start,end,start count,end count,germinated,notes
1,1,3,81,131-1,15,,437.9,Inf,5,10,5,
1,1,4,111,131-1,10,,437.9,Inf,5,10,5,
1,2,2,52,131-2,10,2/13/16 8:29,60.37,108.23,0,5,5,
1,1,1,4,132-2,15,1/26/16 8:37,150.33,198.12,2,7,5,
1,1,3,104,132-2,10,,437.9,Inf,5,10,5,
1,2,9,292,134-1,0,2/13/16 8:46,59.1,107.02,0,5,5,
1,2,2,41,134-2,10,2/13/16 8:29,60.37,108.23,1,6,5,
1,1,6,181,135-1,10,,439.78,Inf,5,10,5,
1,1,1,23,137-2,0,1/22/16 8:24,54,101.9,0,5,5,
1,1,6,186,137-2,10,,439.78,Inf,5,10,5,
1,1,5,169,138-1,20,,438.45,Inf,5,10,5,
1,2,1,11,139-2,10,2/13/16 8:26,60.58,108.43,0,5,5,
1,1,8,281,140-1,20,,440.4,Inf,5,10,5,
1,1,7,217,140-2,10,,440.23,Inf,5,10,5,
1,1,6,190,142-2,20,,439.78,Inf,5,10,5,
1,1,7,230,142-2,15,,440.23,Inf,5,10,5,
1,1,6,182,143-1,20,1/26/16 8:56,150.57,198.43,0,5,5,
1,1,4,119,145-1,10,1/24/16 8:59,101.98,150.48,0,5,5,
1,2,9,305,150-1,0,2/13/16 8:46,59.1,107.02,0,5,5,
1,1,1,21,151-2,10,,437.63,Inf,5,10,5,
1,1,7,226,153-2,0,,440.23,Inf,5,10,5,
1,1,7,239,153-2,10,1/22/16 8:41,54.13,102.18,0,5,5,
1,1,3,106,156-1,0,,437.9,Inf,5,10,5,
1,1,8,256,156-1,10,,440.4,Inf,5,10,5,
1,2,8,268,163-2,10,2/13/16 8:44,59.32,107.23,0,5,5,
1,1,2,37,165-1,10,,437.63,Inf,5,10,5,
1,1,9,305,170-1,15,1/24/16 9:14,102.32,150.73,2,7,5,
1,1,4,116,173-1,20,1/28/16 8:36,198.32,246.1,1,6,5,
1,1,8,280,173-1,0,1/24/16 9:10,102.28,150.67,1,6,5,
1,1,5,149,173-2,10,,438.45,Inf,5,10,5,
1,1,8,285,174-1,10,1/24/16 9:10,102.28,150.67,1,6,5,
1,1,9,323,174-1,20,1/26/16 9:07,150.73,198.62,0,5,5,
1,2,2,65,177-1,15,2/13/16 8:29,60.37,108.23,0,5,5,
1,2,3,98,177-1,0,2/13/16 8:31,60.15,108.02,0,5,5,
1,1,1,1,181-1,0,1/22/16 8:24,54,101.9,0,5,5,
1,1,3,95,181-1,20,1/30/16 9:33,246.05,295.05,1,6,5,
1,1,6,191,184-1,10,1/24/16 9:04,102.07,150.57,4,9,5,
1,1,8,263,186-1,0,,440.4,Inf,5,10,5,
1,1,7,241,188-1,10,1/24/16 9:07,102.18,150.62,0,5,5,
1,1,6,194,191-2,15,1/26/16 8:56,150.57,198.43,0,5,5,
1,1,9,319,191-2,20,,440.62,Inf,5,10,5,
1,1,7,245,215-1,20,,440.23,Inf,5,10,5,
1,2,5,150,75-2,15,2/13/16 8:36,59.72,107.6,0,5,5,
1,1,1,24,77-1,15,1/24/16 8:50,101.9,150.33,3,8,5,
1,2,8,265,77-2,0,2/13/16 8:44,59.32,107.23,0,5,5,
1,1,5,166,79-1,0,,438.45,Inf,5,10,5,
1,1,6,184,79-1,15,,439.78,Inf,5,10,5,
1,1,1,27,92-1,10,1/30/16 9:25,245.97,294.92,2,7,5,
