rep,run,shelf,plate,line,trt,start time,start hour,end time,end hour,start germ,end germ,germinated
1,2,1,19,169-2,15,2/08/16 20:00,396.2833333,2/27/16 10:00,446,7,7,0
1,2,1,19,169-2,15,2/08/16 20:00,446,2/29/16 11:07,495.1166667,7,7,0
1,2,1,19,169-2,15,,495.1166667,,Inf,7,10,3
1,2,1,20,120-1,15,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,20,120-1,15,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,5,5
1,2,1,20,120-1,15,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,5,5,0
1,2,1,20,120-1,15,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,5,5,0
1,2,1,20,120-1,15,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,5,5,0
1,2,1,20,120-1,15,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,5,5,0
1,2,1,20,120-1,15,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,5,5,0
1,2,1,20,120-1,15,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,5,5,0
1,2,1,20,120-1,15,2/08/16 20:00,396.2833333,2/27/16 10:00,446,5,5,0
1,2,1,20,120-1,15,2/08/16 20:00,446,2/29/16 11:07,495.1166667,5,5,0
1,2,1,20,120-1,15,,495.1166667,,Inf,5,10,5
1,2,1,21,219-2,20,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,21,219-2,20,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,0,0
1,2,1,21,219-2,20,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,0,0,0
1,2,1,21,219-2,20,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,0,0,0
1,2,1,21,219-2,20,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,0,0,0
1,2,1,21,219-2,20,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,0,0,0
1,2,1,21,219-2,20,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,0,0,0
1,2,1,21,219-2,20,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,0,0,0
1,2,1,21,219-2,20,2/08/16 20:00,396.2833333,2/27/16 10:00,446,0,0,0
