Rep,Run,Shelf,Plate,Line,Trt,Type,end,germ,disease,drop
3,6,1,33,Johnny's,20,,215.66,1,2,
3,6,1,33,Johnny's,20,,264.06,2,3,
3,6,1,33,Johnny's,20,,312.03,2,3,
3,6,1,33,Johnny's,20,,360.06,3,3,
3,6,1,33,Johnny's,20,,408.1,3,3,
3,6,1,33,Johnny's,20,,456.02,3,3,
3,6,1,33,Johnny's,20,,527.81,4,3,
3,6,1,33,Johnny's,20,,Inf,7,3,
3,6,1,34,217-1,15,,71.95,0,0,
3,6,1,34,217-1,15,,120.03,8,0,
3,6,1,34,217-1,15,,167.99,9,1,
3,6,1,34,217-1,15,,215.66,9,1,
3,6,1,34,217-1,15,,264.06,9,1,
3,6,1,34,217-1,15,,312.03,9,1,
3,6,1,34,217-1,15,,360.06,9,1,
3,6,1,34,217-1,15,,408.1,9,1,
3,6,1,34,217-1,15,,456.02,9,1,
3,6,1,34,217-1,15,,527.81,9,1,
3,6,1,34,217-1,15,,Inf,9,1,
3,6,1,35,138-2,15,,71.95,0,0,
3,6,1,35,138-2,15,,120.03,3,0,
3,6,1,35,138-2,15,,167.99,3,2,
3,6,1,35,138-2,15,,215.66,3,2,
3,6,1,35,138-2,15,,264.06,3,4,
3,6,1,35,138-2,15,,312.03,3,7,
3,6,1,35,138-2,15,,360.06,3,7,
3,6,1,35,138-2,15,,408.1,3,7,
3,6,1,35,138-2,15,,456.02,3,7,
3,6,1,35,138-2,15,,527.81,3,7,
3,6,1,35,138-2,15,,Inf,3,7,
3,6,1,36,145-2,15,,71.95,0,0,
3,6,1,36,145-2,15,,120.03,5,1,
3,6,1,36,145-2,15,,167.99,5,1,
3,6,1,36,145-2,15,,215.66,5,2,
3,6,1,36,145-2,15,,264.06,5,3,
3,6,1,36,145-2,15,,312.03,5,5,
3,6,1,36,145-2,15,,360.06,5,5,
3,6,1,36,145-2,15,,408.1,5,5,
3,6,1,36,145-2,15,,456.02,5,5,
3,6,1,36,145-2,15,,527.81,5,5,
3,6,1,36,145-2,15,,Inf,5,5,
3,6,2,37,215-1,15,,71.95,0,0,
3,6,2,37,215-1,15,,120.03,1,2,
3,6,2,37,215-1,15,,167.99,3,6,
3,6,2,37,215-1,15,,215.66,3,7,
3,6,2,37,215-1,15,,264.06,3,7,
3,6,2,37,215-1,15,,312.03,3,7,
3,6,2,37,215-1,15,,360.06,3,7,
3,6,2,37,215-1,15,,408.1,3,7,
3,6,2,37,215-1,15,,456.02,3,7,
3,6,2,37,215-1,15,,527.81,3,7,
3,6,2,37,215-1,15,,Inf,3,7,
3,6,2,38,134-1,10,,71.95,1,1,
3,6,2,38,134-1,10,,120.03,1,1,
3,6,2,38,134-1,10,,167.99,2,1,
3,6,2,38,134-1,10,,215.66,2,1,
3,6,2,38,134-1,10,,264.06,2,3,
3,6,2,38,134-1,10,,312.03,2,3,
3,6,2,38,134-1,10,,360.06,2,3,
3,6,2,38,134-1,10,,408.1,2,4,
3,6,2,38,134-1,10,,456.02,2,4,
3,6,2,38,134-1,10,,527.81,2,4,
3,6,2,38,134-1,10,,Inf,2,8,
3,6,2,39,138-1,15,,71.95,0,0,
3,6,2,39,138-1,15,,120.03,0,0,
3,6,2,39,138-1,15,,167.99,1,0,
3,6,2,39,138-1,15,,215.66,1,0,
3,6,2,39,138-1,15,,264.06,1,1,
3,6,2,39,138-1,15,,312.03,1,1,
3,6,2,39,138-1,15,,360.06,1,2,
3,6,2,39,138-1,15,,408.1,1,2,
3,6,2,39,138-1,15,,456.02,1,5,
3,6,2,39,138-1,15,,527.81,1,7,
3,6,2,39,138-1,15,,Inf,2,8,
3,6,2,40,156-1,15,,71.95,NA,NA,
3,6,2,40,156-1,15,,120.03,NA,NA,
3,6,2,40,156-1,15,,167.99,NA,NA,
3,6,2,40,156-1,15,,215.66,NA,NA,
3,6,2,40,156-1,15,,264.06,NA,NA,
3,6,2,40,156-1,15,,312.03,NA,NA,
3,6,2,40,156-1,15,,360.06,NA,NA,
3,6,2,40,156-1,15,,408.1,NA,NA,
3,6,2,40,156-1,15,,456.02,NA,NA,
3,6,2,40,156-1,15,,527.81,NA,NA,
3,6,2,40,156-1,15,,Inf,NA,NA,
3,6,2,41,122-2,10,,71.95,0,0,
3,6,2,41,122-2,10,,120.03,2,0,
3,6,2,41,122-2,10,,167.99,2,0,
3,6,2,41,122-2,10,,215.66,6,0,
3,6,2,41,122-2,10,,264.06,9,0,
3,6,2,41,122-2,10,,312.03,9,1,
3,6,2,41,122-2,10,,360.06,9,1,
3,6,2,41,122-2,10,,408.1,9,1,
3,6,2,41,122-2,10,,456.02,9,1,
3,6,2,41,122-2,10,,527.81,9,1,
3,6,2,41,122-2,10,,Inf,9,1,
3,6,2,42,141-2,15,,71.95,0,0,
3,6,2,42,141-2,15,,120.03,0,0,
3,6,2,42,141-2,15,,167.99,4,1,
3,6,2,42,141-2,15,,215.66,4,1,
3,6,2,42,141-2,15,,264.06,4,3,
3,6,2,42,141-2,15,,312.03,4,4,
3,6,2,42,141-2,15,,360.06,4,4,
3,6,2,42,141-2,15,,408.1,4,4,
3,6,2,42,141-2,15,,456.02,4,4,
3,6,2,42,141-2,15,,527.81,4,6,
3,6,2,42,141-2,15,,Inf,4,6,
3,6,2,44,165-1,0,,71.95,0,0,
3,6,2,44,165-1,0,,120.03,0,1,
3,6,2,44,165-1,0,,167.99,2,1,
3,6,2,44,165-1,0,,215.66,2,2,
3,6,2,44,165-1,0,,264.06,3,7,
3,6,2,44,165-1,0,,312.03,3,7,
3,6,2,44,165-1,0,,360.06,3,7,
3,6,2,44,165-1,0,,408.1,3,7,
3,6,2,44,165-1,0,,456.02,3,7,
3,6,2,44,165-1,0,,527.81,3,7,
3,6,2,44,165-1,0,,Inf,3,7,
3,6,2,45,219-1,10,,71.95,0,0,
3,6,2,45,219-1,10,,120.03,0,0,
3,6,2,45,219-1,10,,167.99,0,0,
3,6,2,45,219-1,10,,215.66,0,1,
3,6,2,45,219-1,10,,264.06,0,4,
3,6,2,45,219-1,10,,312.03,0,4,
3,6,2,45,219-1,10,,360.06,0,4,
3,6,2,45,219-1,10,,408.1,0,4,
3,6,2,45,219-1,10,,456.02,0,5,
3,6,2,45,219-1,10,,527.81,0,5,
3,6,2,45,219-1,10,,Inf,3,7,
3,6,2,46,147-2,15,,71.95,0,0,
3,6,2,46,147-2,15,,120.03,3,0,
3,6,2,46,147-2,15,,167.99,7,0,
3,6,2,46,147-2,15,,215.66,7,3,
3,6,2,46,147-2,15,,264.06,7,3,
3,6,2,46,147-2,15,,312.03,7,3,
3,6,2,46,147-2,15,,360.06,7,3,
3,6,2,46,147-2,15,,408.1,7,3,
3,6,2,46,147-2,15,,456.02,7,3,
3,6,2,46,147-2,15,,527.81,7,3,
3,6,2,46,147-2,15,,Inf,7,3,
3,6,2,47,130-1,0,,71.95,0,0,
3,6,2,47,130-1,0,,120.03,4,1,
3,6,2,47,130-1,0,,167.99,7,1,
3,6,2,47,130-1,0,,215.66,7,1,
3,6,2,47,130-1,0,,264.06,7,1,
3,6,2,47,130-1,0,,312.03,7,1,
3,6,2,47,130-1,0,,360.06,7,2,
3,6,2,47,130-1,0,,408.1,7,2,
3,6,2,47,130-1,0,,456.02,7,2,
3,6,2,47,130-1,0,,527.81,7,3,
3,6,2,47,130-1,0,,Inf,7,3,
3,6,2,48,216-1,20,,71.95,NA,NA,
3,6,2,48,216-1,20,,120.03,NA,NA,
3,6,2,48,216-1,20,,167.99,NA,NA,
3,6,2,48,216-1,20,,215.66,NA,NA,
3,6,2,48,216-1,20,,264.06,NA,NA,
3,6,2,48,216-1,20,,312.03,NA,NA,
3,6,2,48,216-1,20,,360.06,NA,NA,
3,6,2,48,216-1,20,,408.1,NA,NA,
3,6,2,48,216-1,20,,456.02,NA,NA,
3,6,2,48,216-1,20,,527.81,NA,NA,
3,6,2,48,216-1,20,,Inf,NA,NA,
3,6,2,49,100-1,15,,71.95,0,0,
3,6,2,49,100-1,15,,120.03,1,0,
3,6,2,49,100-1,15,,167.99,2,3,
3,6,2,49,100-1,15,,215.66,2,3,
3,6,2,49,100-1,15,,264.06,3,4,
3,6,2,49,100-1,15,,312.03,3,4,
3,6,2,49,100-1,15,,360.06,3,4,
3,6,2,49,100-1,15,,408.1,3,4,
3,6,2,49,100-1,15,,456.02,3,4,
3,6,2,49,100-1,15,,527.81,4,4,
3,6,2,49,100-1,15,,Inf,5,5,
3,6,2,51,105-1,10,,71.95,0,0,
3,6,2,51,105-1,10,,120.03,1,0,
3,6,2,51,105-1,10,,167.99,3,0,
3,6,2,51,105-1,10,,215.66,4,0,
3,6,2,51,105-1,10,,264.06,4,0,
3,6,2,51,105-1,10,,312.03,4,6,
3,6,2,51,105-1,10,,360.06,4,6,
3,6,2,51,105-1,10,,408.1,4,6,
3,6,2,51,105-1,10,,456.02,4,6,
3,6,2,51,105-1,10,,527.81,4,6,
3,6,2,51,105-1,10,,Inf,4,6,
3,6,2,52,Johnny's,20,,71.95,0,0,
3,6,2,52,Johnny's,20,,120.03,0,1,
3,6,2,52,Johnny's,20,,167.99,1,3,
3,6,2,52,Johnny's,20,,215.66,2,3,
3,6,2,52,Johnny's,20,,264.06,2,3,
3,6,2,52,Johnny's,20,,312.03,2,7,
3,6,2,52,Johnny's,20,,360.06,3,7,
3,6,2,52,Johnny's,20,,408.1,3,7,
3,6,2,52,Johnny's,20,,456.02,3,7,
3,6,2,52,Johnny's,20,,527.81,3,7,
3,6,2,52,Johnny's,20,,Inf,3,7,
3,6,2,53,217-2,15,,71.95,1,0,
3,6,2,53,217-2,15,,120.03,6,0,
3,6,2,53,217-2,15,,167.99,6,0,
3,6,2,53,217-2,15,,215.66,6,0,
3,6,2,53,217-2,15,,264.06,6,4,
3,6,2,53,217-2,15,,312.03,6,4,
3,6,2,53,217-2,15,,360.06,6,4,
3,6,2,53,217-2,15,,408.1,6,4,
3,6,2,53,217-2,15,,456.02,6,4,
3,6,2,53,217-2,15,,527.81,6,4,
3,6,2,53,217-2,15,,Inf,6,4,
3,6,2,55,119-2,10,,71.95,0,0,
3,6,2,55,119-2,10,,120.03,1,0,
3,6,2,55,119-2,10,,167.99,3,0,
3,6,2,55,119-2,10,,215.66,3,0,
3,6,2,55,119-2,10,,264.06,4,4,
3,6,2,55,119-2,10,,312.03,4,4,
3,6,2,55,119-2,10,,360.06,5,4,
3,6,2,55,119-2,10,,408.1,5,4,
3,6,2,55,119-2,10,,456.02,5,5,
3,6,2,55,119-2,10,,527.81,5,5,
3,6,2,55,119-2,10,,Inf,5,5,
3,6,2,56,168-1,10,,71.95,1,0,
3,6,2,56,168-1,10,,120.03,9,1,
3,6,2,56,168-1,10,,167.99,9,1,
3,6,2,56,168-1,10,,215.66,9,1,
3,6,2,56,168-1,10,,264.06,9,1,
3,6,2,56,168-1,10,,312.03,9,1,
3,6,2,56,168-1,10,,360.06,9,1,
3,6,2,56,168-1,10,,408.1,9,1,
3,6,2,56,168-1,10,,456.02,9,1,
3,6,2,56,168-1,10,,527.81,9,1,
3,6,2,56,168-1,10,,Inf,9,1,
