,sampleid,line,rep,run,shelf,plate,trt,type,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
53,CanAbasolo1,215-2,3,5,9,297,0,E3,522,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
54,CanAbasolo1,215-2,1,1,4,125,10,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
55,CanAbasolo1,215-2,3,5,8,261,15,E3,522,0,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
56,CanAbasolo1,215-2,3,5,9,297,0,E3,522,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
57,CanAbasolo1,215-2,2,3,4,111,20,E3,497.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
58,CanAbasolo1,215-2,2,3,4,137,10,E3,158.2,1,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
59,CanAbasolo1,215-2,1,1,9,307,15,E3,150.7333333,1,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
60,CanAbasolo1,215-2,3,5,3,78,10,E3,109.5,1,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
61,CanAbasolo1,215-2,2,3,4,121,15,E3,158.2,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
62,CanAbasolo1,215-2,3,5,3,78,10,E3,522,0,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
63,CanAbasolo1,215-2,2,3,4,132,0,E3,158.2,1,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
64,CanAbasolo1,215-2,1,1,7,228,0,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
65,CanAbasolo1,215-2,3,5,3,78,10,E3,522,0,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
66,CanAbasolo1,215-2,3,5,3,78,10,E3,522,0,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
67,CanAbasolo1,215-2,2,3,4,137,10,E3,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
68,CanAbasolo1,215-1,1,1,3,78,15,E3,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
69,CanAbasolo1,215-1,2,3,3,78,20,E3,206.75,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
70,CanAbasolo1,215-1,2,3,3,78,20,E3,157.8666667,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
