rep,run,shelf,plate,line,trt,type,end,status,germinated,,
4,7,1,17,88-1,10,,Inf,1,2,,
4,7,1,18,138-2,10,,59.5,1,0,,
4,7,1,18,138-2,10,,107.3333333,1,4,,
4,7,1,18,138-2,10,,153.75,1,0,,
4,7,1,18,138-2,10,,203.6666667,1,0,,
4,7,1,18,138-2,10,,253,1,0,,
4,7,1,18,138-2,10,,298.75,1,0,,
4,7,1,18,138-2,10,,344.75,1,0,,
4,7,1,18,138-2,10,,396,1,0,,
4,7,1,18,138-2,10,,445,1,0,,
4,7,1,18,138-2,10,,501,1,0,,
4,7,1,18,138-2,10,,Inf,1,0,,
4,7,1,19,219-1,20,,59.5,1,0,,
4,7,1,19,219-1,20,,107.3333333,1,0,,
4,7,1,19,219-1,20,,153.75,1,0,,
4,7,1,19,219-1,20,,203.6666667,1,0,,
4,7,1,19,219-1,20,,253,1,0,,
4,7,1,19,219-1,20,,298.75,1,0,,
4,7,1,19,219-1,20,,344.75,1,0,,
4,7,1,19,219-1,20,,396,1,0,,
4,7,1,19,219-1,20,,445,1,0,,
4,7,1,19,219-1,20,,501,1,0,,
4,7,1,19,219-1,20,,Inf,1,6,,
4,7,1,20,150-2,0,,59.5,1,0,,
4,7,1,20,150-2,0,,107.3333333,1,0,,
4,7,1,20,150-2,0,,153.75,1,1,,
4,7,1,20,150-2,0,,203.6666667,1,2,,
4,7,1,20,150-2,0,,253,1,0,,
4,7,1,20,150-2,0,,298.75,1,0,,
4,7,1,20,150-2,0,,344.75,1,0,,
4,7,1,20,150-2,0,,396,1,0,,
4,7,1,20,150-2,0,,445,1,0,,
4,7,1,20,150-2,0,,501,1,0,,
4,7,1,20,150-2,0,,Inf,1,0,,
4,7,1,22,124-1,0,,59.5,1,0,,
4,7,1,22,124-1,0,,107.3333333,1,3,,
4,7,1,22,124-1,0,,153.75,1,5,,
4,7,1,22,124-1,0,,203.6666667,1,1,,
4,7,1,22,124-1,0,,253,1,0,,
4,7,1,22,124-1,0,,298.75,1,1,,
4,7,1,22,124-1,0,,344.75,1,0,,
4,7,1,22,124-1,0,,396,1,0,,
4,7,1,22,124-1,0,,445,1,0,,
4,7,1,22,124-1,0,,502.75,1,0,,
4,7,1,22,124-1,0,,Inf,1,0,,
4,7,1,23,125-2,20,,59.5,1,0,,
4,7,1,23,125-2,20,,107.3333333,1,0,,
4,7,1,23,125-2,20,,153.75,1,0,,
4,7,1,23,125-2,20,,203.6666667,1,0,,
4,7,1,23,125-2,20,,253,1,0,,
4,7,1,23,125-2,20,,298.75,1,0,,
4,7,1,23,125-2,20,,344.75,1,0,,
4,7,1,23,125-2,20,,396,1,0,,
4,7,1,23,125-2,20,,445,1,1,,
4,7,1,23,125-2,20,,502.75,1,0,,
4,7,1,23,125-2,20,,Inf,1,8,,
4,7,1,24,146-1,20,,59.5,1,0,,
4,7,1,24,146-1,20,,107.3333333,1,0,,
4,7,1,24,146-1,20,,153.75,1,0,,
4,7,1,24,146-1,20,,203.6666667,1,0,,
4,7,1,24,146-1,20,,253,1,0,,
4,7,1,24,146-1,20,,298.75,1,0,,
4,7,1,24,146-1,20,,344.75,1,0,,
4,7,1,24,146-1,20,,396,1,0,,
4,7,1,24,146-1,20,,445,1,0,,
4,7,1,24,146-1,20,,501,1,0,,
4,7,1,24,146-1,20,,Inf,1,1,,
4,7,1,25,77-1,10,,59.5,1,0,,
4,7,1,25,77-1,10,,107.3333333,1,1,,
4,7,1,25,77-1,10,,153.75,1,3,,
4,7,1,25,77-1,10,,203.6666667,1,3,,
4,7,1,25,77-1,10,,253,1,0,,
4,7,1,25,77-1,10,,298.75,1,3,,
4,7,1,25,77-1,10,,344.75,1,0,,
4,7,1,25,77-1,10,,396,1,0,,
4,7,1,25,77-1,10,,445,1,0,,
4,7,1,25,77-1,10,,501,1,0,,
4,7,1,25,77-1,10,,Inf,1,0,,
4,7,1,26,105-1,10,,59.5,1,0,,
4,7,1,26,105-1,10,,107.3333333,1,2,,
4,7,1,26,105-1,10,,153.75,1,1,,
4,7,1,26,105-1,10,,203.6666667,1,0,,
4,7,1,26,105-1,10,,253,1,0,,
4,7,1,26,105-1,10,,298.75,1,0,,
4,7,1,26,105-1,10,,344.75,1,0,,
4,7,1,26,105-1,10,,396,1,1,,
4,7,1,26,105-1,10,,445,1,0,,
4,7,1,26,105-1,10,,502.75,1,1,,
4,7,1,26,105-1,10,,Inf,1,5,,
4,7,1,27,92-1,20,,59.5,1,0,,
4,7,1,27,92-1,20,,107.3333333,1,0,,
4,7,1,27,92-1,20,,153.75,1,0,,
4,7,1,27,92-1,20,,203.6666667,1,0,,
4,7,1,27,92-1,20,,253,1,0,,
4,7,1,27,92-1,20,,298.75,1,0,,
4,7,1,27,92-1,20,,344.75,1,2,,
4,7,1,27,92-1,20,,396,1,0,,
4,7,1,27,92-1,20,,445,1,0,,
4,7,1,27,92-1,20,,501,1,0,,
4,7,1,27,92-1,20,,Inf,1,6,,
4,7,1,28,144-1,20,,59.5,1,0,,
4,7,1,28,144-1,20,,107.3333333,1,1,,
4,7,1,28,144-1,20,,153.75,1,2,,
4,7,1,28,144-1,20,,203.6666667,1,0,,
4,7,1,28,144-1,20,,253,1,6,,
4,7,1,28,144-1,20,,298.75,1,0,,
4,7,1,28,144-1,20,,344.75,1,0,,
4,7,1,28,144-1,20,,396,1,0,,
4,7,1,28,144-1,20,,445,1,0,,
4,7,1,28,144-1,20,,501,1,0,,
4,7,1,28,144-1,20,,Inf,1,0,,
4,7,1,29,93-1,15,,59.5,1,0,,
4,7,1,29,93-1,15,,107.3333333,1,0,,
4,7,1,29,93-1,15,,153.75,1,1,,
4,7,1,29,93-1,15,,203.6666667,1,0,,
4,7,1,29,93-1,15,,253,1,2,,
4,7,1,29,93-1,15,,298.75,1,2,,
4,7,1,29,93-1,15,,344.75,1,0,,
4,7,1,29,93-1,15,,396,1,0,,
4,7,1,29,93-1,15,,445,1,0,,
4,7,1,29,93-1,15,,501,1,1,,
4,7,1,29,93-1,15,,Inf,1,2,,
4,7,1,31,128-2,10,,59.5,1,NA,,
4,7,1,31,128-2,10,,107.3333333,1,NA,,
4,7,1,31,128-2,10,,153.75,1,NA,,
4,7,1,31,128-2,10,,203.6666667,1,NA,,
4,7,1,31,128-2,10,,253,1,NA,,
4,7,1,31,128-2,10,,298.75,1,NA,,
4,7,1,31,128-2,10,,344.75,1,NA,,
4,7,1,31,128-2,10,,396,1,NA,,
4,7,1,31,128-2,10,,445,1,NA,,
4,7,1,31,128-2,10,,502.75,1,NA,,
4,7,1,31,128-2,10,,Inf,1,NA,,
4,7,1,32,126-1,10,,59.5,1,0,,
4,7,1,32,126-1,10,,107.3333333,1,0,,
4,7,1,32,126-1,10,,153.75,1,0,,
4,7,1,32,126-1,10,,203.6666667,1,0,,
4,7,1,32,126-1,10,,253,1,0,,
4,7,1,32,126-1,10,,298.75,1,1,,
4,7,1,32,126-1,10,,344.75,1,0,,
4,7,1,32,126-1,10,,396,1,1,,
4,7,1,32,126-1,10,,445,1,0,,
4,7,1,32,126-1,10,,502.75,1,0,,
4,7,1,32,126-1,10,,Inf,1,6,,
4,7,1,33,91-1,15,,59.5,1,0,,
4,7,1,33,91-1,15,,107.3333333,1,0,,
4,7,1,33,91-1,15,,153.75,1,0,,
4,7,1,33,91-1,15,,203.6666667,1,0,,
4,7,1,33,91-1,15,,253,1,0,,
4,7,1,33,91-1,15,,298.75,1,1,,
4,7,1,33,91-1,15,,344.75,1,1,,
4,7,1,33,91-1,15,,396,1,0,,
4,7,1,33,91-1,15,,445,1,0,,
4,7,1,33,91-1,15,,501,1,1,,
4,7,1,33,91-1,15,,Inf,1,3,,
4,7,1,34,118-1,10,,59.5,1,0,,
4,7,1,34,118-1,10,,107.3333333,1,1,,
4,7,1,34,118-1,10,,153.75,1,1,,
4,7,1,34,118-1,10,,203.6666667,1,0,,
4,7,1,34,118-1,10,,253,1,0,,
4,7,1,34,118-1,10,,298.75,1,3,,
4,7,1,34,118-1,10,,344.75,1,2,,
4,7,1,34,118-1,10,,396,1,0,,
4,7,1,34,118-1,10,,445,1,0,,
4,7,1,34,118-1,10,,502.75,1,1,,
