rep,run,shelf,plate,line,trt,start time,read time,hours,count,notes
1,1,1,20,170-1,20,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,20,170-1,20,1/18/16 2:30,1/24/16 8:50,150.33,0,
1,1,1,20,170-1,20,1/18/16 2:30,1/26/16 8:37,198.12,3,
1,1,1,20,170-1,20,1/18/16 2:30,1/28/16 8:28,245.97,7,
1,1,1,20,170-1,20,1/18/16 2:30,1/30/16 9:25,294.92,8,
1,1,1,20,170-1,20,1/18/16 2:30,2/1/16 8:32,342.03,8,
1,1,1,20,170-1,20,1/18/16 2:30,2/3/16 8:23,389.88,8,
1,1,1,20,170-1,20,1/18/16 2:30,2/5/16 8:08,437.63,8,
1,1,1,21,151-2,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,21,151-2,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,21,151-2,10,1/18/16 2:30,1/22/16 8:24,101.9,3,
1,1,1,21,151-2,10,1/18/16 2:30,1/24/16 8:50,150.33,4,
1,1,1,21,151-2,10,1/18/16 2:30,1/26/16 8:37,198.12,4,
1,1,1,21,151-2,10,1/18/16 2:30,1/28/16 8:28,245.97,4,
1,1,1,21,151-2,10,1/18/16 2:30,1/30/16 9:25,294.92,5,
1,1,1,21,151-2,10,1/18/16 2:30,2/1/16 8:32,342.03,5,
1,1,1,21,151-2,10,1/18/16 2:30,2/3/16 8:23,389.88,5,
1,1,1,21,151-2,10,1/18/16 2:30,2/5/16 8:08,437.63,5,
1,1,1,22,75-1,0,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,22,75-1,0,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,22,75-1,0,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,22,75-1,0,1/18/16 2:30,1/24/16 8:50,150.33,1,
1,1,1,22,75-1,0,1/18/16 2:30,1/26/16 8:37,198.12,5,
1,1,1,22,75-1,0,1/18/16 2:30,1/28/16 8:28,245.97,8,
1,1,1,22,75-1,0,1/18/16 2:30,1/30/16 9:25,294.92,8,
1,1,1,22,75-1,0,1/18/16 2:30,2/1/16 8:32,342.03,8,
1,1,1,22,75-1,0,1/18/16 2:30,2/3/16 8:23,389.88,9,
1,1,1,22,75-1,0,1/18/16 2:30,2/5/16 8:08,437.63,9,
1,1,1,23,137-2,0,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,23,137-2,0,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,23,137-2,0,1/18/16 2:30,1/22/16 8:24,101.9,5,
1,1,1,23,137-2,0,1/18/16 2:30,1/24/16 8:50,150.33,7,
1,1,1,23,137-2,0,1/18/16 2:30,1/26/16 8:37,198.12,10,
1,1,1,23,137-2,0,1/18/16 2:30,1/28/16 8:28,245.97,10,
1,1,1,23,137-2,0,1/18/16 2:30,1/30/16 9:25,294.92,10,
1,1,1,23,137-2,0,1/18/16 2:30,2/1/16 8:32,342.03,10,
1,1,1,23,137-2,0,1/18/16 2:30,2/3/16 8:23,389.88,10,
1,1,1,23,137-2,0,1/18/16 2:30,2/5/16 8:08,437.63,10,
1,1,1,24,77-1,15,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,24,77-1,15,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,24,77-1,15,1/18/16 2:30,1/22/16 8:24,101.9,3,
1,1,1,24,77-1,15,1/18/16 2:30,1/24/16 8:50,150.33,8,
1,1,1,24,77-1,15,1/18/16 2:30,1/26/16 8:37,198.12,10,
1,1,1,24,77-1,15,1/18/16 2:30,1/28/16 8:28,245.97,10,
1,1,1,24,77-1,15,1/18/16 2:30,1/30/16 9:25,294.92,10,
1,1,1,24,77-1,15,1/18/16 2:30,2/1/16 8:32,342.03,10,
1,1,1,24,77-1,15,1/18/16 2:30,2/3/16 8:23,389.88,10,
1,1,1,24,77-1,15,1/18/16 2:30,2/5/16 8:08,437.63,10,
1,1,1,25,100-2,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,25,100-2,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,25,100-2,10,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,25,100-2,10,1/18/16 2:30,1/24/16 8:50,150.33,0,
1,1,1,25,100-2,10,1/18/16 2:30,1/26/16 8:37,198.12,0,
1,1,1,25,100-2,10,1/18/16 2:30,1/28/16 8:28,245.97,2,
1,1,1,25,100-2,10,1/18/16 2:30,1/30/16 9:25,294.92,2,
1,1,1,25,100-2,10,1/18/16 2:30,2/1/16 8:32,342.03,3,
1,1,1,25,100-2,10,1/18/16 2:30,2/3/16 8:23,389.88,6,
1,1,1,25,100-2,10,1/18/16 2:30,2/5/16 8:08,437.63,9,
1,1,1,26,165-1,15,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,26,165-1,15,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,26,165-1,15,1/18/16 2:30,1/22/16 8:24,101.9,1,
1,1,1,26,165-1,15,1/18/16 2:30,1/24/16 8:50,150.33,3,
1,1,1,26,165-1,15,1/18/16 2:30,1/26/16 8:37,198.12,4,
1,1,1,26,165-1,15,1/18/16 2:30,1/28/16 8:28,245.97,4,
1,1,1,26,165-1,15,1/18/16 2:30,1/30/16 9:25,294.92,4,
1,1,1,26,165-1,15,1/18/16 2:30,2/1/16 8:32,342.03,6,
1,1,1,26,165-1,15,1/18/16 2:30,2/3/16 8:23,389.88,6,
1,1,1,26,165-1,15,1/18/16 2:30,2/5/16 8:08,437.63,6,
1,1,1,27,92-1,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,27,92-1,10,1/18/16 2:30,1/20/16 8:30,54,0,
