,rep,run,shelf,plate,line,trt,end,status,number
2382,2,3,1,25,107-1,20,497.5,0,5
2382.1,2,3,1,25,107-1,20,497.5,0,5
2382.2,2,3,1,25,107-1,20,497.5,0,5
2382.3,2,3,1,25,107-1,20,497.5,0,5
2382.4,2,3,1,25,107-1,20,497.5,0,5
2383,2,3,1,26,125-2,10,302.4,1,3
2383.1,2,3,1,26,125-2,10,302.4,1,3
2383.2,2,3,1,26,125-2,10,302.4,1,3
2384,2,3,1,26,125-2,10,255.0333333,1,2
2384.1,2,3,1,26,125-2,10,255.0333333,1,2
2385,2,3,1,26,125-2,10,206.85,1,2
2385.1,2,3,1,26,125-2,10,206.85,1,2
2386,2,3,1,26,125-2,10,157.9666667,1,1
2387,2,3,1,26,125-2,10,497.5,0,2
2387.1,2,3,1,26,125-2,10,497.5,0,2
2388,2,3,1,27,141-1,10,350.5833333,1,1
2389,2,3,1,27,141-1,10,302.4,1,2
2389.1,2,3,1,27,141-1,10,302.4,1,2
2390,2,3,1,27,141-1,10,206.85,1,1
2391,2,3,1,27,141-1,10,157.9666667,1,1
2392,2,3,1,27,141-1,10,497.5,0,5
2392.1,2,3,1,27,141-1,10,497.5,0,5
2392.2,2,3,1,27,141-1,10,497.5,0,5
2392.3,2,3,1,27,141-1,10,497.5,0,5
2392.4,2,3,1,27,141-1,10,497.5,0,5
2393,2,3,1,28,144-1,15,157.9666667,1,4
2393.1,2,3,1,28,144-1,15,157.9666667,1,4
2393.2,2,3,1,28,144-1,15,157.9666667,1,4
2393.3,2,3,1,28,144-1,15,157.9666667,1,4
2394,2,3,1,28,144-1,15,497.5,0,5
2394.1,2,3,1,28,144-1,15,497.5,0,5
2394.2,2,3,1,28,144-1,15,497.5,0,5
2394.3,2,3,1,28,144-1,15,497.5,0,5
2394.4,2,3,1,28,144-1,15,497.5,0,5
2395,2,3,1,29,Johnny's,0,447.9666667,1,1
2396,2,3,1,29,Johnny's,0,350.5833333,1,3
2396.1,2,3,1,29,Johnny's,0,350.5833333,1,3
2396.2,2,3,1,29,Johnny's,0,350.5833333,1,3
2397,2,3,1,29,Johnny's,0,302.4,1,1
2398,2,3,1,29,Johnny's,0,255.0333333,1,1
2399,2,3,1,29,Johnny's,0,497.5,0,4
2399.1,2,3,1,29,Johnny's,0,497.5,0,4
2399.2,2,3,1,29,Johnny's,0,497.5,0,4
2399.3,2,3,1,29,Johnny's,0,497.5,0,4
2400,2,3,1,30,204-2,20,255.0333333,1,2
2400.1,2,3,1,30,204-2,20,255.0333333,1,2
2401,2,3,1,30,204-2,20,497.5,0,8
2401.1,2,3,1,30,204-2,20,497.5,0,8
2401.2,2,3,1,30,204-2,20,497.5,0,8
2401.3,2,3,1,30,204-2,20,497.5,0,8
2401.4,2,3,1,30,204-2,20,497.5,0,8
2401.5,2,3,1,30,204-2,20,497.5,0,8
2401.6,2,3,1,30,204-2,20,497.5,0,8
2401.7,2,3,1,30,204-2,20,497.5,0,8
2402,2,3,1,31,75-1,20,255.0333333,1,1
2403,2,3,1,31,75-1,20,206.85,1,3
2403.1,2,3,1,31,75-1,20,206.85,1,3
2403.2,2,3,1,31,75-1,20,206.85,1,3
2404,2,3,1,31,75-1,20,157.9666667,1,1
2405,2,3,1,31,75-1,20,497.5,0,5
2405.1,2,3,1,31,75-1,20,497.5,0,5
2405.2,2,3,1,31,75-1,20,497.5,0,5
2405.3,2,3,1,31,75-1,20,497.5,0,5
2405.4,2,3,1,31,75-1,20,497.5,0,5
2406,2,3,1,32,133-1,20,255.0333333,1,1
2407,2,3,1,32,133-1,20,206.85,1,3
2407.1,2,3,1,32,133-1,20,206.85,1,3
2407.2,2,3,1,32,133-1,20,206.85,1,3
2408,2,3,1,32,133-1,20,157.9666667,1,1
2409,2,3,1,32,133-1,20,497.5,0,5
2409.1,2,3,1,32,133-1,20,497.5,0,5
2409.2,2,3,1,32,133-1,20,497.5,0,5
2409.3,2,3,1,32,133-1,20,497.5,0,5
2409.4,2,3,1,32,133-1,20,497.5,0,5
2410,2,3,1,33,141-1,0,255.0333333,1,1
2411,2,3,1,33,141-1,0,157.9666667,1,1
2412,2,3,1,33,141-1,0,497.5,0,8
2412.1,2,3,1,33,141-1,0,497.5,0,8
2412.2,2,3,1,33,141-1,0,497.5,0,8
2412.3,2,3,1,33,141-1,0,497.5,0,8
2412.4,2,3,1,33,141-1,0,497.5,0,8
2412.5,2,3,1,33,141-1,0,497.5,0,8
2412.6,2,3,1,33,141-1,0,497.5,0,8
2412.7,2,3,1,33,141-1,0,497.5,0,8
2413,2,3,1,34,165-1,10,350.5833333,1,1
2414,2,3,1,34,165-1,10,255.0333333,1,1
2415,2,3,1,34,165-1,10,157.9666667,1,7
2415.1,2,3,1,34,165-1,10,157.9666667,1,7
2415.2,2,3,1,34,165-1,10,157.9666667,1,7
2415.3,2,3,1,34,165-1,10,157.9666667,1,7
2415.4,2,3,1,34,165-1,10,157.9666667,1,7
2415.5,2,3,1,34,165-1,10,157.9666667,1,7
2415.6,2,3,1,34,165-1,10,157.9666667,1,7
2416,2,3,1,34,165-1,10,61.03333333,1,1
2417,2,3,1,35,136-2,10,350.5833333,1,1
2418,2,3,1,35,136-2,10,157.9666667,1,3
2418.1,2,3,1,35,136-2,10,157.9666667,1,3
2418.2,2,3,1,35,136-2,10,157.9666667,1,3
2419,2,3,1,35,136-2,10,61.03333333,1,1
2420,2,3,1,35,136-2,10,497.5,0,5
2420.1,2,3,1,35,136-2,10,497.5,0,5
2420.2,2,3,1,35,136-2,10,497.5,0,5
2420.3,2,3,1,35,136-2,10,497.5,0,5
2420.4,2,3,1,35,136-2,10,497.5,0,5
2421,2,3,1,36,208-1,15,398.8833333,1,1
2422,2,3,1,36,208-1,15,350.5833333,1,1
2423,2,3,1,36,208-1,15,302.4,1,2
2423.1,2,3,1,36,208-1,15,302.4,1,2
2424,2,3,1,36,208-1,15,255.0333333,1,1
2425,2,3,1,36,208-1,15,206.85,1,2
2425.1,2,3,1,36,208-1,15,206.85,1,2
2426,2,3,1,36,208-1,15,157.9666667,1,1
2427,2,3,1,36,208-1,15,497.5,0,1
2428,2,3,2,37,183-1,20,350.3166667,1,3
2428.1,2,3,2,37,183-1,20,350.3166667,1,3
2428.2,2,3,2,37,183-1,20,350.3166667,1,3
2429,2,3,2,37,183-1,20,302.1333333,1,1
2430,2,3,2,37,183-1,20,254.7833333,1,2
2430.1,2,3,2,37,183-1,20,254.7833333,1,2
2431,2,3,2,37,183-1,20,157.7833333,1,1
2432,2,3,2,37,183-1,20,497.5,0,3
2432.1,2,3,2,37,183-1,20,497.5,0,3
2432.2,2,3,2,37,183-1,20,497.5,0,3
2433,2,3,2,38,188-2,10,302.1333333,1,1
2434,2,3,2,38,188-2,10,254.7833333,1,1
2435,2,3,2,38,188-2,10,206.6666667,1,3
2435.1,2,3,2,38,188-2,10,206.6666667,1,3
2435.2,2,3,2,38,188-2,10,206.6666667,1,3
2436,2,3,2,38,188-2,10,157.7833333,1,3
2436.1,2,3,2,38,188-2,10,157.7833333,1,3
2436.2,2,3,2,38,188-2,10,157.7833333,1,3
2437,2,3,2,38,188-2,10,497.5,0,2
2437.1,2,3,2,38,188-2,10,497.5,0,2
2438,2,3,2,39,119-2,20,497.5,0,10
2438.1,2,3,2,39,119-2,20,497.5,0,10
2438.2,2,3,2,39,119-2,20,497.5,0,10
2438.3,2,3,2,39,119-2,20,497.5,0,10
2438.4,2,3,2,39,119-2,20,497.5,0,10
2438.5,2,3,2,39,119-2,20,497.5,0,10
2438.6,2,3,2,39,119-2,20,497.5,0,10
2438.7,2,3,2,39,119-2,20,497.5,0,10
2438.8,2,3,2,39,119-2,20,497.5,0,10
2438.9,2,3,2,39,119-2,20,497.5,0,10
2439,2,3,2,40,151-2,0,302.1333333,1,1
2440,2,3,2,40,151-2,0,254.7833333,1,2
2440.1,2,3,2,40,151-2,0,254.7833333,1,2
2441,2,3,2,40,151-2,0,497.5,0,7
2441.1,2,3,2,40,151-2,0,497.5,0,7
2441.2,2,3,2,40,151-2,0,497.5,0,7
2441.3,2,3,2,40,151-2,0,497.5,0,7
2441.4,2,3,2,40,151-2,0,497.5,0,7
2441.5,2,3,2,40,151-2,0,497.5,0,7
2441.6,2,3,2,40,151-2,0,497.5,0,7
2442,2,3,2,41,120-1,0,157.7833333,1,6
2442.1,2,3,2,41,120-1,0,157.7833333,1,6
2442.2,2,3,2,41,120-1,0,157.7833333,1,6
2442.3,2,3,2,41,120-1,0,157.7833333,1,6
2442.4,2,3,2,41,120-1,0,157.7833333,1,6
2442.5,2,3,2,41,120-1,0,157.7833333,1,6
2443,2,3,2,41,120-1,0,497.5,0,3
2443.1,2,3,2,41,120-1,0,497.5,0,3
2443.2,2,3,2,41,120-1,0,497.5,0,3
2444,2,3,2,42,Johnny's,10,302.1333333,1,1
2445,2,3,2,42,Johnny's,10,254.7833333,1,1
2446,2,3,2,42,Johnny's,10,206.6666667,1,5
2446.1,2,3,2,42,Johnny's,10,206.6666667,1,5
2446.2,2,3,2,42,Johnny's,10,206.6666667,1,5
2446.3,2,3,2,42,Johnny's,10,206.6666667,1,5
2446.4,2,3,2,42,Johnny's,10,206.6666667,1,5
2447,2,3,2,42,Johnny's,10,157.7833333,1,1
2448,2,3,2,42,Johnny's,10,497.5,0,2
2448.1,2,3,2,42,Johnny's,10,497.5,0,2
2449,2,3,2,43,189-1,0,398.6,1,1
2450,2,3,2,43,189-1,0,302.1333333,1,1
2451,2,3,2,43,189-1,0,254.7833333,1,1
2452,2,3,2,43,189-1,0,206.6666667,1,2
2452.1,2,3,2,43,189-1,0,206.6666667,1,2
2453,2,3,2,43,189-1,0,157.7833333,1,2
2453.1,2,3,2,43,189-1,0,157.7833333,1,2
2454,2,3,2,43,189-1,0,497.5,0,4
2454.1,2,3,2,43,189-1,0,497.5,0,4
2454.2,2,3,2,43,189-1,0,497.5,0,4
2454.3,2,3,2,43,189-1,0,497.5,0,4
2455,2,3,2,46,119-2,15,302.1333333,1,2
2455.1,2,3,2,46,119-2,15,302.1333333,1,2
2456,2,3,2,46,119-2,15,254.7833333,1,2
2456.1,2,3,2,46,119-2,15,254.7833333,1,2
2457,2,3,2,46,119-2,15,206.6666667,1,1
2458,2,3,2,46,119-2,15,157.7833333,1,3
2458.1,2,3,2,46,119-2,15,157.7833333,1,3
2458.2,2,3,2,46,119-2,15,157.7833333,1,3
2459,2,3,2,46,119-2,15,497.5,0,2
2459.1,2,3,2,46,119-2,15,497.5,0,2
2460,2,3,2,47,77-1,0,157.7833333,1,8
2460.1,2,3,2,47,77-1,0,157.7833333,1,8
2460.2,2,3,2,47,77-1,0,157.7833333,1,8
2460.3,2,3,2,47,77-1,0,157.7833333,1,8
2460.4,2,3,2,47,77-1,0,157.7833333,1,8
2460.5,2,3,2,47,77-1,0,157.7833333,1,8
2460.6,2,3,2,47,77-1,0,157.7833333,1,8
2460.7,2,3,2,47,77-1,0,157.7833333,1,8
2461,2,3,2,47,77-1,0,60.73333333,1,1
2462,2,3,2,47,77-1,0,497.5,0,1
2463,2,3,2,48,140-1,0,157.7833333,1,2
2463.1,2,3,2,48,140-1,0,157.7833333,1,2
2464,2,3,2,48,140-1,0,497.5,0,8
2464.1,2,3,2,48,140-1,0,497.5,0,8
2464.2,2,3,2,48,140-1,0,497.5,0,8
2464.3,2,3,2,48,140-1,0,497.5,0,8
2464.4,2,3,2,48,140-1,0,497.5,0,8
2464.5,2,3,2,48,140-1,0,497.5,0,8
2464.6,2,3,2,48,140-1,0,497.5,0,8
2464.7,2,3,2,48,140-1,0,497.5,0,8
2465,2,3,2,49,177-1,0,157.7833333,1,9
2465.1,2,3,2,49,177-1,0,157.7833333,1,9
2465.2,2,3,2,49,177-1,0,157.7833333,1,9
2465.3,2,3,2,49,177-1,0,157.7833333,1,9
2465.4,2,3,2,49,177-1,0,157.7833333,1,9
2465.5,2,3,2,49,177-1,0,157.7833333,1,9
2465.6,2,3,2,49,177-1,0,157.7833333,1,9
2465.7,2,3,2,49,177-1,0,157.7833333,1,9
2465.8,2,3,2,49,177-1,0,157.7833333,1,9
2466,2,3,2,49,177-1,0,497.5,0,1
2467,2,3,2,50,140-2,15,157.7833333,1,2
2467.1,2,3,2,50,140-2,15,157.7833333,1,2
2468,2,3,2,50,140-2,15,497.5,0,8
2468.1,2,3,2,50,140-2,15,497.5,0,8
2468.2,2,3,2,50,140-2,15,497.5,0,8
2468.3,2,3,2,50,140-2,15,497.5,0,8
2468.4,2,3,2,50,140-2,15,497.5,0,8
2468.5,2,3,2,50,140-2,15,497.5,0,8
2468.6,2,3,2,50,140-2,15,497.5,0,8
2468.7,2,3,2,50,140-2,15,497.5,0,8
2469,2,3,2,51,100-1,10,398.6,1,1
2470,2,3,2,51,100-1,10,302.1333333,1,2
2470.1,2,3,2,51,100-1,10,302.1333333,1,2
2471,2,3,2,51,100-1,10,254.7833333,1,3
2471.1,2,3,2,51,100-1,10,254.7833333,1,3
2471.2,2,3,2,51,100-1,10,254.7833333,1,3
2472,2,3,2,51,100-1,10,206.6666667,1,3
2472.1,2,3,2,51,100-1,10,206.6666667,1,3
2472.2,2,3,2,51,100-1,10,206.6666667,1,3
2473,2,3,2,51,100-1,10,157.7833333,1,1
2474,2,3,2,52,75-2,20,254.7833333,1,2
2474.1,2,3,2,52,75-2,20,254.7833333,1,2
2475,2,3,2,52,75-2,20,157.7833333,1,3
2475.1,2,3,2,52,75-2,20,157.7833333,1,3
2475.2,2,3,2,52,75-2,20,157.7833333,1,3
2476,2,3,2,52,75-2,20,497.5,0,5
2476.1,2,3,2,52,75-2,20,497.5,0,5
2476.2,2,3,2,52,75-2,20,497.5,0,5
2476.3,2,3,2,52,75-2,20,497.5,0,5
2476.4,2,3,2,52,75-2,20,497.5,0,5
2477,2,3,2,53,218-1,20,350.3166667,1,1
2478,2,3,2,53,218-1,20,302.1333333,1,3
2478.1,2,3,2,53,218-1,20,302.1333333,1,3
2478.2,2,3,2,53,218-1,20,302.1333333,1,3
2479,2,3,2,53,218-1,20,254.7833333,1,6
2479.1,2,3,2,53,218-1,20,254.7833333,1,6
2479.2,2,3,2,53,218-1,20,254.7833333,1,6
2479.3,2,3,2,53,218-1,20,254.7833333,1,6
2479.4,2,3,2,53,218-1,20,254.7833333,1,6
2479.5,2,3,2,53,218-1,20,254.7833333,1,6
2480,2,3,2,55,140-2,0,206.6666667,1,2
2480.1,2,3,2,55,140-2,0,206.6666667,1,2
2481,2,3,2,55,140-2,0,157.7833333,1,1
2482,2,3,2,55,140-2,0,497.5,0,7
2482.1,2,3,2,55,140-2,0,497.5,0,7
2482.2,2,3,2,55,140-2,0,497.5,0,7
2482.3,2,3,2,55,140-2,0,497.5,0,7
2482.4,2,3,2,55,140-2,0,497.5,0,7
2482.5,2,3,2,55,140-2,0,497.5,0,7
2482.6,2,3,2,55,140-2,0,497.5,0,7
2483,2,3,2,56,183-1,10,206.6666667,1,3
2483.1,2,3,2,56,183-1,10,206.6666667,1,3
2483.2,2,3,2,56,183-1,10,206.6666667,1,3
2484,2,3,2,56,183-1,10,157.7833333,1,4
2484.1,2,3,2,56,183-1,10,157.7833333,1,4
2484.2,2,3,2,56,183-1,10,157.7833333,1,4
2484.3,2,3,2,56,183-1,10,157.7833333,1,4
2485,2,3,2,56,183-1,10,497.5,0,3
2485.1,2,3,2,56,183-1,10,497.5,0,3
2485.2,2,3,2,56,183-1,10,497.5,0,3
2486,2,3,2,57,100-1,15,302.1333333,1,2
2486.1,2,3,2,57,100-1,15,302.1333333,1,2
2487,2,3,2,57,100-1,15,254.7833333,1,3
2487.1,2,3,2,57,100-1,15,254.7833333,1,3
2487.2,2,3,2,57,100-1,15,254.7833333,1,3
2488,2,3,2,57,100-1,15,157.7833333,1,3
2488.1,2,3,2,57,100-1,15,157.7833333,1,3
2488.2,2,3,2,57,100-1,15,157.7833333,1,3
2489,2,3,2,57,100-1,15,497.5,0,2
2489.1,2,3,2,57,100-1,15,497.5,0,2
2490,2,3,2,58,120-1,20,157.7833333,1,7
2490.1,2,3,2,58,120-1,20,157.7833333,1,7
2490.2,2,3,2,58,120-1,20,157.7833333,1,7
2490.3,2,3,2,58,120-1,20,157.7833333,1,7
2490.4,2,3,2,58,120-1,20,157.7833333,1,7
2490.5,2,3,2,58,120-1,20,157.7833333,1,7
2490.6,2,3,2,58,120-1,20,157.7833333,1,7
2491,2,3,2,58,120-1,20,497.5,0,3
2491.1,2,3,2,58,120-1,20,497.5,0,3
2491.2,2,3,2,58,120-1,20,497.5,0,3
2492,2,3,2,59,144-2,15,254.7833333,1,1
2493,2,3,2,59,144-2,15,206.6666667,1,1
2494,2,3,2,59,144-2,15,157.7833333,1,3
2494.1,2,3,2,59,144-2,15,157.7833333,1,3
2494.2,2,3,2,59,144-2,15,157.7833333,1,3
2495,2,3,2,59,144-2,15,497.5,0,5
2495.1,2,3,2,59,144-2,15,497.5,0,5
2495.2,2,3,2,59,144-2,15,497.5,0,5
2495.3,2,3,2,59,144-2,15,497.5,0,5
2495.4,2,3,2,59,144-2,15,497.5,0,5
2496,2,3,2,60,164-2,10,254.7833333,1,1
2497,2,3,2,60,164-2,10,157.7833333,1,1
2498,2,3,2,60,164-2,10,497.5,0,8
2498.1,2,3,2,60,164-2,10,497.5,0,8
2498.2,2,3,2,60,164-2,10,497.5,0,8
2498.3,2,3,2,60,164-2,10,497.5,0,8
2498.4,2,3,2,60,164-2,10,497.5,0,8
2498.5,2,3,2,60,164-2,10,497.5,0,8
2498.6,2,3,2,60,164-2,10,497.5,0,8
2498.7,2,3,2,60,164-2,10,497.5,0,8
2499,2,3,2,61,109-2,0,447.7,1,1
2500,2,3,2,61,109-2,0,350.3166667,1,2
2500.1,2,3,2,61,109-2,0,350.3166667,1,2
2501,2,3,2,61,109-2,0,302.1333333,1,3
2501.1,2,3,2,61,109-2,0,302.1333333,1,3
2501.2,2,3,2,61,109-2,0,302.1333333,1,3
2502,2,3,2,61,109-2,0,254.7833333,1,3
2502.1,2,3,2,61,109-2,0,254.7833333,1,3
2502.2,2,3,2,61,109-2,0,254.7833333,1,3
2503,2,3,2,61,109-2,0,206.6666667,1,1
2504,2,3,2,62,165-1,15,157.7833333,1,5
2504.1,2,3,2,62,165-1,15,157.7833333,1,5
2504.2,2,3,2,62,165-1,15,157.7833333,1,5
2504.3,2,3,2,62,165-1,15,157.7833333,1,5
2504.4,2,3,2,62,165-1,15,157.7833333,1,5
2505,2,3,2,62,165-1,15,497.5,0,5
2505.1,2,3,2,62,165-1,15,497.5,0,5
2505.2,2,3,2,62,165-1,15,497.5,0,5
2505.3,2,3,2,62,165-1,15,497.5,0,5
2505.4,2,3,2,62,165-1,15,497.5,0,5
2506,2,3,2,63,130-2,0,206.6666667,1,2
2506.1,2,3,2,63,130-2,0,206.6666667,1,2
2507,2,3,2,63,130-2,0,157.7833333,1,1
2508,2,3,2,63,130-2,0,497.5,0,7
2508.1,2,3,2,63,130-2,0,497.5,0,7
2508.2,2,3,2,63,130-2,0,497.5,0,7
2508.3,2,3,2,63,130-2,0,497.5,0,7
2508.4,2,3,2,63,130-2,0,497.5,0,7
2508.5,2,3,2,63,130-2,0,497.5,0,7
2508.6,2,3,2,63,130-2,0,497.5,0,7
2509,2,3,2,64,219-1,10,447.7,1,3
2509.1,2,3,2,64,219-1,10,447.7,1,3
2509.2,2,3,2,64,219-1,10,447.7,1,3
2510,2,3,2,64,219-1,10,350.3166667,1,3
2510.1,2,3,2,64,219-1,10,350.3166667,1,3
2510.2,2,3,2,64,219-1,10,350.3166667,1,3
2511,2,3,2,64,219-1,10,302.1333333,1,1
2512,2,3,2,64,219-1,10,497.5,0,3
2512.1,2,3,2,64,219-1,10,497.5,0,3
2512.2,2,3,2,64,219-1,10,497.5,0,3
2513,2,3,2,65,135-2,20,206.6666667,1,1
2514,2,3,2,65,135-2,20,157.7833333,1,1
2515,2,3,2,65,135-2,20,497.5,0,8
2515.1,2,3,2,65,135-2,20,497.5,0,8
2515.2,2,3,2,65,135-2,20,497.5,0,8
2515.3,2,3,2,65,135-2,20,497.5,0,8
2515.4,2,3,2,65,135-2,20,497.5,0,8
2515.5,2,3,2,65,135-2,20,497.5,0,8
2515.6,2,3,2,65,135-2,20,497.5,0,8
2515.7,2,3,2,65,135-2,20,497.5,0,8
2516,2,3,2,66,144-1,0,350.3166667,1,1
2517,2,3,2,66,144-1,0,206.6666667,1,2
2517.1,2,3,2,66,144-1,0,206.6666667,1,2
2518,2,3,2,66,144-1,0,157.7833333,1,1
2519,2,3,2,66,144-1,0,497.5,0,7
2519.1,2,3,2,66,144-1,0,497.5,0,7
2519.2,2,3,2,66,144-1,0,497.5,0,7
2519.3,2,3,2,66,144-1,0,497.5,0,7
2519.4,2,3,2,66,144-1,0,497.5,0,7
2519.5,2,3,2,66,144-1,0,497.5,0,7
2519.6,2,3,2,66,144-1,0,497.5,0,7
2520,2,3,2,67,77-2,10,206.6666667,1,1
2521,2,3,2,67,77-2,10,157.7833333,1,8
2521.1,2,3,2,67,77-2,10,157.7833333,1,8
2521.2,2,3,2,67,77-2,10,157.7833333,1,8
2521.3,2,3,2,67,77-2,10,157.7833333,1,8
2521.4,2,3,2,67,77-2,10,157.7833333,1,8
2521.5,2,3,2,67,77-2,10,157.7833333,1,8
2521.6,2,3,2,67,77-2,10,157.7833333,1,8
2521.7,2,3,2,67,77-2,10,157.7833333,1,8
2522,2,3,2,67,77-2,10,497.5,0,1
2523,2,3,2,68,107-1,10,398.6,1,1
2524,2,3,2,68,107-1,10,350.3166667,1,1
2525,2,3,2,68,107-1,10,157.7833333,1,4
2525.1,2,3,2,68,107-1,10,157.7833333,1,4
2525.2,2,3,2,68,107-1,10,157.7833333,1,4
2525.3,2,3,2,68,107-1,10,157.7833333,1,4
2526,2,3,2,68,107-1,10,497.5,0,4
2526.1,2,3,2,68,107-1,10,497.5,0,4
2526.2,2,3,2,68,107-1,10,497.5,0,4
2526.3,2,3,2,68,107-1,10,497.5,0,4
2527,2,3,2,69,Johnny's,20,495.0833333,1,1
2528,2,3,2,69,Johnny's,20,302.1333333,1,2
2528.1,2,3,2,69,Johnny's,20,302.1333333,1,2
2529,2,3,2,69,Johnny's,20,497.5,0,6
2529.1,2,3,2,69,Johnny's,20,497.5,0,6
2529.2,2,3,2,69,Johnny's,20,497.5,0,6
2529.3,2,3,2,69,Johnny's,20,497.5,0,6
2529.4,2,3,2,69,Johnny's,20,497.5,0,6
2529.5,2,3,2,69,Johnny's,20,497.5,0,6
2530,2,3,2,70,185-2,20,206.6666667,1,1
2531,2,3,2,70,185-2,20,157.7833333,1,1
2532,2,3,2,70,185-2,20,497.5,0,8
2532.1,2,3,2,70,185-2,20,497.5,0,8
2532.2,2,3,2,70,185-2,20,497.5,0,8
2532.3,2,3,2,70,185-2,20,497.5,0,8
2532.4,2,3,2,70,185-2,20,497.5,0,8
2532.5,2,3,2,70,185-2,20,497.5,0,8
2532.6,2,3,2,70,185-2,20,497.5,0,8
2532.7,2,3,2,70,185-2,20,497.5,0,8
2533,2,3,2,71,147-1,0,206.6666667,1,1
2534,2,3,2,71,147-1,0,157.7833333,1,4
2534.1,2,3,2,71,147-1,0,157.7833333,1,4
2534.2,2,3,2,71,147-1,0,157.7833333,1,4
2534.3,2,3,2,71,147-1,0,157.7833333,1,4
2535,2,3,2,71,147-1,0,497.5,0,4
2535.1,2,3,2,71,147-1,0,497.5,0,4
2535.2,2,3,2,71,147-1,0,497.5,0,4
2535.3,2,3,2,71,147-1,0,497.5,0,4
2536,2,3,2,72,179-2,0,254.7833333,1,1
2537,2,3,2,72,179-2,0,206.6666667,1,1
2538,2,3,2,72,179-2,0,157.7833333,1,8
2538.1,2,3,2,72,179-2,0,157.7833333,1,8
2538.2,2,3,2,72,179-2,0,157.7833333,1,8
2538.3,2,3,2,72,179-2,0,157.7833333,1,8
2538.4,2,3,2,72,179-2,0,157.7833333,1,8
2538.5,2,3,2,72,179-2,0,157.7833333,1,8
2538.6,2,3,2,72,179-2,0,157.7833333,1,8
2538.7,2,3,2,72,179-2,0,157.7833333,1,8
2539,2,3,3,73,122-1,0,398.6333333,1,2
2539.1,2,3,3,73,122-1,0,398.6333333,1,2
2540,2,3,3,73,122-1,0,350.3833333,1,1
2541,2,3,3,73,122-1,0,302.1833333,1,3
2541.1,2,3,3,73,122-1,0,302.1833333,1,3
2541.2,2,3,3,73,122-1,0,302.1833333,1,3
2542,2,3,3,73,122-1,0,206.75,1,3
2542.1,2,3,3,73,122-1,0,206.75,1,3
2542.2,2,3,3,73,122-1,0,206.75,1,3
2543,2,3,3,73,122-1,0,497.5,0,1
2544,2,3,3,74,100-1,20,447.75,1,1
2545,2,3,3,74,100-1,20,398.6333333,1,1
2546,2,3,3,74,100-1,20,302.1833333,1,1
2547,2,3,3,74,100-1,20,254.85,1,1
2548,2,3,3,74,100-1,20,497.5,0,5
2548.1,2,3,3,74,100-1,20,497.5,0,5
2548.2,2,3,3,74,100-1,20,497.5,0,5
2548.3,2,3,3,74,100-1,20,497.5,0,5
2548.4,2,3,3,74,100-1,20,497.5,0,5
2549,2,3,3,75,77-1,10,157.8666667,1,9
2549.1,2,3,3,75,77-1,10,157.8666667,1,9
2549.2,2,3,3,75,77-1,10,157.8666667,1,9
2549.3,2,3,3,75,77-1,10,157.8666667,1,9
2549.4,2,3,3,75,77-1,10,157.8666667,1,9
2549.5,2,3,3,75,77-1,10,157.8666667,1,9
2549.6,2,3,3,75,77-1,10,157.8666667,1,9
2549.7,2,3,3,75,77-1,10,157.8666667,1,9
2549.8,2,3,3,75,77-1,10,157.8666667,1,9
2550,2,3,3,75,77-1,10,60.86666667,1,1
2551,2,3,3,76,187-1,0,254.85,1,1
2552,2,3,3,76,187-1,0,206.75,1,7
2552.1,2,3,3,76,187-1,0,206.75,1,7
2552.2,2,3,3,76,187-1,0,206.75,1,7
2552.3,2,3,3,76,187-1,0,206.75,1,7
2552.4,2,3,3,76,187-1,0,206.75,1,7
2552.5,2,3,3,76,187-1,0,206.75,1,7
2552.6,2,3,3,76,187-1,0,206.75,1,7
2553,2,3,3,76,187-1,0,157.8666667,1,2
2553.1,2,3,3,76,187-1,0,157.8666667,1,2
2554,2,3,3,77,84-1,0,157.8666667,1,10
2554.1,2,3,3,77,84-1,0,157.8666667,1,10
2554.2,2,3,3,77,84-1,0,157.8666667,1,10
2554.3,2,3,3,77,84-1,0,157.8666667,1,10
2554.4,2,3,3,77,84-1,0,157.8666667,1,10
2554.5,2,3,3,77,84-1,0,157.8666667,1,10
2554.6,2,3,3,77,84-1,0,157.8666667,1,10
2554.7,2,3,3,77,84-1,0,157.8666667,1,10
2554.8,2,3,3,77,84-1,0,157.8666667,1,10
2554.9,2,3,3,77,84-1,0,157.8666667,1,10
2555,2,3,3,78,215-1,20,350.3833333,1,1
2556,2,3,3,78,215-1,20,254.85,1,1
2557,2,3,3,78,215-1,20,206.75,1,2
2557.1,2,3,3,78,215-1,20,206.75,1,2
2558,2,3,3,78,215-1,20,157.8666667,1,3
2558.1,2,3,3,78,215-1,20,157.8666667,1,3
2558.2,2,3,3,78,215-1,20,157.8666667,1,3
2559,2,3,3,78,215-1,20,497.5,0,3
2559.1,2,3,3,78,215-1,20,497.5,0,3
2559.2,2,3,3,78,215-1,20,497.5,0,3
2560,2,3,3,79,139-1,20,254.85,1,1
2561,2,3,3,79,139-1,20,206.75,1,2
2561.1,2,3,3,79,139-1,20,206.75,1,2
2562,2,3,3,79,139-1,20,497.5,0,6
2562.1,2,3,3,79,139-1,20,497.5,0,6
2562.2,2,3,3,79,139-1,20,497.5,0,6
2562.3,2,3,3,79,139-1,20,497.5,0,6
2562.4,2,3,3,79,139-1,20,497.5,0,6
