,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
234,CanAnil3,77-1,103.2,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
235,CanAnil3,77-1,30.5,1,1,1,9,10,101.9,1,7,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
237,CanAnil3,77-1,85.4,1,1,1,24,15,150.3,1,5,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
240,CanAnil3,77-1,103.3,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
242,CanAnil3,77-1,86.1,1,1,1,24,15,198.1,1,2,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
243,CanAnil3,77-1,85,1,1,1,24,15,150.3,1,5,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
244,CanAnil3,77-1,86,1,1,1,24,15,198.1,1,2,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
246,CanAnil3,77-1,2549.1,2,3,3,75,10,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
247,CanAnil3,77-1,2647.5,2,3,3,108,20,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
248,CanAnil3,77-1,84.2,1,1,1,24,15,101.9,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
249,CanAnil3,77-1,3173.9,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
252,CanAnil3,77-1,30.2,1,1,1,9,10,101.9,1,7,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
