"","sampleid","line","rep","run","shelf","plate","trt","type","end","status","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"66","CanAbasolo1","215-2",1,1,5,155,20,"E3",342.35,1,1,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"67","CanAbasolo1","215-2",1,1,9,307,15,"E3",150.7333333,1,6,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"68","CanAbasolo1","215-2",1,1,9,307,15,"E3",150.7333333,1,6,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"69","CanAbasolo1","215-2",2,3,4,121,15,"E3",497.5,0,1,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"70","CanAbasolo1","215-2",1,1,9,307,15,"E3",150.7333333,1,6,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"71","CanAbasolo1","215-2",2,3,4,132,0,"E3",158.2,1,5,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"72","CanAbasolo1","215-2",1,1,5,155,20,"E3",438.45,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"73","CanAbasolo1","215-2",1,1,4,125,10,"E3",150.4833333,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"74","CanAbasolo1","215-2",1,1,4,125,10,"E3",150.4833333,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"75","CanAbasolo1","215-2",2,3,4,132,0,"E3",158.2,1,5,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"76","CanAbasolo1","215-2",1,1,5,155,20,"E3",438.45,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"77","CanAbasolo1","215-2",1,1,5,155,20,"E3",438.45,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"78","CanAbasolo1","215-2",1,1,9,307,15,"E3",150.7333333,1,6,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"79","CanAbasolo1","215-2",2,3,4,132,0,"E3",158.2,1,5,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"80","CanAbasolo1","215-2",1,1,7,228,0,"E3",102.1833333,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"81","CanAbasolo1","215-2",2,3,4,132,0,"E3",158.2,1,5,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"82","CanAbasolo1","215-2",2,3,4,137,10,"E3",158.2,1,4,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"83","CanAbasolo1","215-2",2,3,4,137,10,"E3",158.2,1,4,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"84","CanAbasolo1","215-2",1,1,7,228,0,"E3",102.1833333,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"85","CanAbasolo1","215-2",1,1,4,125,10,"E3",150.4833333,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"86","CanAbasolo1","215-2",2,3,4,121,15,"E3",158.2,1,3,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"87","CanAbasolo1","215-2",2,3,4,111,20,"E3",158.2,1,1,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"88","CanAbasolo1","215-2",1,1,9,307,15,"E3",150.7333333,1,6,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"89","CanAbasolo1","215-2",2,3,4,137,10,"E3",61.3,1,1,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"90","CanAbasolo1","215-2",1,1,9,307,15,"E3",150.7333333,1,6,NA,"14CAg215-2","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"91","CanAbasolo2","216-1",2,3,8,287,0,"E3",494.05,1,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"92","CanAbasolo2","216-1",1,1,9,291,15,"E3",150.7333333,1,3,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"93","CanAbasolo2","216-1",2,3,8,287,0,"E3",494.05,1,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"94","CanAbasolo2","216-1",2,3,4,123,10,"E3",158.2,1,3,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"95","CanAbasolo2","216-1",2,3,9,312,15,"E3",156.7,1,4,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"96","CanAbasolo2","216-1",1,1,9,316,10,"E3",150.7333333,1,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"97","CanAbasolo2","216-1",1,1,9,316,10,"E3",542.5,1,3,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"98","CanAbasolo2","216-1",2,3,7,241,20,"E3",157.6166667,1,5,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"99","CanAbasolo2","216-1",1,1,9,291,15,"E3",198.6166667,1,1,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"100","CanAbasolo2","216-1",2,3,4,123,10,"E3",158.2,1,3,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"101","CanAbasolo2","216-1",1,1,9,316,10,"E3",542.5,1,3,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"102","CanAbasolo2","216-1",1,1,6,216,0,"E3",102.0666667,1,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"103","CanAbasolo2","216-1",2,3,4,123,10,"E3",255.2333333,1,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"104","CanAbasolo2","216-1",2,3,4,123,10,"E3",158.2,1,3,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"105","CanAbasolo2","216-1",2,3,7,241,20,"E3",157.6166667,1,5,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"106","CanAbasolo2","216-1",2,3,9,312,15,"E3",156.7,1,4,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"107","CanAbasolo2","216-1",1,1,9,291,15,"E3",150.7333333,1,3,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
