,sampleid,line,rep,run,shelf,plate,trt,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
57,CanAbasolo1,215-1,1,1,7,237,10,150.6166667,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
58,CanAbasolo1,215-1,4,8,8,276,10,164,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
59,CanAbasolo1,215-1,1,1,7,245,20,198.4833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
60,CanAbasolo1,215-1,4,8,8,276,10,356.75,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
61,CanAbasolo1,215-1,1,1,7,237,10,102.1833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
62,CanAbasolo1,215-1,1,1,7,237,10,102.1833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
63,CanAbasolo1,215-1,3,6,1,17,0,120.03,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
64,CanAbasolo1,215-1,3,6,2,37,15,215.66,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
65,CanAbasolo1,215-1,4,8,5,176,15,114.25,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
66,CanAbasolo1,215-1,1,1,7,237,10,246.2833333,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
67,CanAbasolo1,215-1,3,6,3,94,20,360.06,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
68,CanAbasolo1,215-1,1,1,7,237,10,542.5,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
69,CanAbasolo1,215-1,1,1,7,245,20,198.4833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
70,CanAbasolo1,215-1,3,6,7,248,10,527.81,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
71,CanAbasolo1,215-1,3,6,3,94,20,264.06,0,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
72,CanAbasolo1,215-1,4,8,8,276,10,114.25,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
73,CanAbasolo1,215-1,4,8,5,176,15,356.75,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
