"","X","sampleid","line","rep","run","shelf","plate","trt","end","status","number","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"6394",6394,"CanLag4","98-2",1,"2",5,157,0,107.6,1,5,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","2_157"
"6395",6395,"CanLag4","98-2",3,"5",2,66,10,61.8,1,6,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","5_66"
"6396",6396,"CanLag4","98-2",2,"4",2,55,20,114.5,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_55"
"6397",6397,"CanLag4","98-2",1,"2",2,43,10,108.2,1,6,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","2_43"
"6398",6398,"CanLag4","98-2",3,"5",6,184,15,109.5,1,6,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","5_184"
"6399",6399,"CanLag4","98-2",4,"8",6,188,10,163.7,1,1,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_188"
"6400",6400,"CanLag4","98-2",3,"5",6,184,15,156.8,1,1,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","5_184"
"6401",6401,"CanLag4","98-1",4,"8",3,89,15,114.2,1,7,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_89"
"6402",6402,"CanLag4","98-1",2,"3",5,166,15,157.5,1,7,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_166"
"6403",6403,"CanLag4","98-1",2,"3",6,205,0,59.9,1,1,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_205"
"6404",6404,"CanLag4","98-1",4,"8",3,105,0,114.2,1,5,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_105"
"6405",6405,"CanLag4","98-1",1,"1",2,62,15,102,1,9,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_62"
"6406",6406,"CanLag4","98-1",2,"3",6,187,10,156.8,1,10,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_187"
"6407",6407,"CanLag4","98-1",2,"3",6,205,0,156.8,1,8,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_205"
"6408",6408,"CanLag4","98-1",2,"3",6,187,10,156.8,1,10,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_187"
"6409",6409,"CanLag4","98-1",3,"6",7,234,15,120,1,10,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","6_234"
"6410",6410,"CanLag4","98-1",2,"3",9,318,20,156.7,1,10,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_318"
"6412",6412,"CanLag4","98-1",2,"3",6,205,0,253.8,1,1,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_205"
"6413",6413,"CanLag4","98-1",3,"6",9,308,20,215.7,1,3,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","6_308"
"6414",6414,"CanLag4","98-1",4,"8",6,204,20,258,1,1,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_204"
"6415",6415,"CanLag4","98-1",2,"3",6,205,0,156.8,1,8,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_205"
"6416",6416,"CanLag4","98-1",3,"6",6,196,0,120,1,1,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","6_196"
"6417",6417,"CanLag4","98-1",3,"6",6,196,0,215.7,1,1,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","6_196"
"6418",6418,"CanLag4","98-1",1,"1",2,62,15,102,1,9,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_62"
"6419",6419,"CanLag4","98-1",1,"1",5,161,0,198.4,1,1,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_161"
"6420",6420,"CanLag4","98-1",1,"1",2,62,15,102,1,9,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_62"
"6421",6421,"CanLag4","98-1",4,"8",3,105,0,163.7,1,4,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_105"
"6422",6422,"CanLag4","98-1",3,"6",9,307,10,120,1,7,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","6_307"
"6423",6423,"CanLag4","98-1",2,"3",6,205,0,156.8,1,8,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_205"
"6424",6424,"CanLag4","98-1",4,"8",2,58,10,114.2,1,7,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_58"
"6425",6425,"CanLag4","98-1",4,"8",3,89,15,163.7,1,3,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_89"
"6426",6426,"CanLag4","98-1",3,"6",9,308,20,168,1,7,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","6_308"
"6427",6427,"CanLag4","98-1",1,"1",2,62,15,102,1,9,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_62"
"6428",6428,"CanLag4","98-1",4,"8",6,204,20,211,1,1,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_204"
"6429",6429,"CanLag4","98-1",1,"1",2,62,15,102,1,9,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_62"
"6430",6430,"CanLag4","98-1",3,"6",9,308,20,215.7,1,3,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","6_308"
"6431",6431,"CanLag4","98-1",4,"8",3,105,0,163.7,1,4,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_105"
"6432",6432,"CanLag4","98-1",1,"1",2,62,15,102,1,9,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_62"
"6433",6433,"CanLag4","98-1",4,"8",3,105,0,114.2,1,5,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_105"
"6434",6434,"CanLag4","98-1",4,"8",3,105,0,114.2,1,5,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_105"
"6435",6435,"CanLag4","98-1",2,"3",6,187,10,156.8,1,10,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","3_187"
"6436",6436,"CanLag4","98-1",4,"8",2,58,10,114.2,1,7,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_58"
"6437",6437,"CanLag4","98-1",4,"8",2,58,10,114.2,1,7,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_58"
"6438",6438,"CanLag4","98-1",1,"1",5,161,0,542.5,0,1,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_161"
"6439",6439,"CanLag4","98-1",3,"6",9,308,20,168,1,7,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","6_308"
"6440",6440,"CanLag4","98-1",1,"1",2,62,15,102,1,9,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_62"
"6441",6441,"CanLag4","98-1",1,"1",2,62,15,150.4,1,1,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","1_62"
"6442",6442,"CanLag4","98-1",4,"8",6,204,20,163.7,1,7,"14CRo98-1","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_204"
"6443",6443,"CanLag4","98-2",4,"8",5,146,0,500,0,1,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_146"
"6444",6444,"CanLag4","98-2",2,"4",5,156,0,303.8,1,1,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_156"
"6445",6445,"CanLag4","98-2",2,"4",4,133,10,66.7,1,1,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_133"
"6446",6446,"CanLag4","98-2",2,"4",5,156,0,160.2,1,4,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_156"
"6447",6447,"CanLag4","98-2",1,"2",4,131,15,107.8,1,5,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","2_131"
"6448",6448,"CanLag4","98-2",3,"5",2,66,10,61.8,1,6,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","5_66"
"6449",6449,"CanLag4","98-2",4,"8",5,146,0,163.7,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_146"
"6450",6450,"CanLag4","98-2",4,"8",5,146,0,163.7,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_146"
"6451",6451,"CanLag4","98-2",4,"8",8,264,20,453,1,1,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_264"
"6452",6452,"CanLag4","98-2",4,"8",6,188,10,114.2,1,9,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_188"
"6453",6453,"CanLag4","98-2",3,"5",5,147,20,156.8,1,9,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","5_147"
"6454",6454,"CanLag4","98-2",1,"2",5,157,0,205.8,1,2,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","2_157"
"6455",6455,"CanLag4","98-2",4,"8",9,317,15,114.2,1,6,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_317"
"6456",6456,"CanLag4","98-2",4,"8",8,264,20,211,1,4,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_264"
"6457",6457,"CanLag4","98-2",4,"8",8,264,20,164,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_264"
"6458",6458,"CanLag4","98-2",4,"8",8,264,20,258,1,1,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_264"
"6459",6459,"CanLag4","98-2",4,"8",5,146,0,163.7,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_146"
"6460",6460,"CanLag4","98-2",1,"2",4,131,15,107.8,1,5,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","2_131"
"6462",6462,"CanLag4","98-2",2,"4",5,156,0,160.2,1,4,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_156"
"6464",6464,"CanLag4","98-2",2,"4",4,133,10,114.3,1,7,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_133"
"6465",6465,"CanLag4","98-2",1,"2",2,43,10,156.2,1,2,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","2_43"
"6466",6466,"CanLag4","98-2",4,"8",8,264,20,211,1,4,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_264"
"6467",6467,"CanLag4","98-2",3,"5",2,66,10,109.5,1,2,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","5_66"
"6468",6468,"CanLag4","98-2",2,"4",2,55,20,256.4,1,2,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_55"
"6469",6469,"CanLag4","98-2",4,"8",5,146,0,211,1,2,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_146"
"6470",6470,"CanLag4","98-2",2,"4",5,156,0,160.2,1,4,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_156"
"6471",6471,"CanLag4","98-2",1,"2",5,157,0,107.6,1,5,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","2_157"
"6472",6472,"CanLag4","98-2",4,"8",9,317,15,164,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_317"
"6473",6473,"CanLag4","98-2",2,"4",4,133,10,114.3,1,7,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_133"
"6474",6474,"CanLag4","98-2",4,"8",5,146,0,211,1,2,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_146"
"6475",6475,"CanLag4","98-2",4,"8",8,264,20,164,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_264"
"6476",6476,"CanLag4","98-2",1,"2",5,157,0,107.6,1,5,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","2_157"
"6477",6477,"CanLag4","98-2",4,"8",9,317,15,164,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_317"
"6478",6478,"CanLag4","98-2",1,"2",2,43,10,108.2,1,6,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","2_43"
"6479",6479,"CanLag4","98-2",2,"4",2,55,20,160.3,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","4_55"
"6480",6480,"CanLag4","98-2",3,"5",5,147,20,156.8,1,9,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","5_147"
"6481",6481,"CanLag4","98-2",4,"8",5,146,0,114.2,1,3,"14CRo98-2","11/10/14","CRo","17","wcoast","CRo_8","landrace","Costeno Rojo","Milpa","Dry","8_146"
