"","rep","run","shelf","plate","line","trt","end","status","viable","number"
"96.2",1,1,1,25,"100-2",10,437.6333333,1,1,3
"97",1,1,1,26,"165-1",15,101.9,1,1,1
"98",1,1,1,26,"165-1",15,150.3333333,1,1,2
"98.1",1,1,1,26,"165-1",15,150.3333333,1,1,2
"99",1,1,1,26,"165-1",15,198.1166667,1,1,1
"100",1,1,1,26,"165-1",15,342.0333333,1,1,2
"100.1",1,1,1,26,"165-1",15,342.0333333,1,1,2
"101",1,1,1,26,"165-1",15,542.5,0,0,4
"101.1",1,1,1,26,"165-1",15,542.5,0,0,4
"101.2",1,1,1,26,"165-1",15,542.5,0,0,4
"101.3",1,1,1,26,"165-1",15,542.5,0,0,4
"102",1,1,1,27,"92-1",10,101.9,1,1,2
"102.1",1,1,1,27,"92-1",10,101.9,1,1,2
"103",1,1,1,27,"92-1",10,294.9166667,1,1,5
"103.1",1,1,1,27,"92-1",10,294.9166667,1,1,5
"103.2",1,1,1,27,"92-1",10,294.9166667,1,1,5
"103.3",1,1,1,27,"92-1",10,294.9166667,1,1,5
"103.4",1,1,1,27,"92-1",10,294.9166667,1,1,5
"104",1,1,1,27,"92-1",10,389.8833333,1,1,2
"104.1",1,1,1,27,"92-1",10,389.8833333,1,1,2
"105",1,1,1,27,"92-1",10,437.6333333,1,1,1
"106",1,1,1,28,"129-1",0,150.3333333,1,1,2
"106.1",1,1,1,28,"129-1",0,150.3333333,1,1,2
"107",1,1,1,28,"129-1",0,542.5,0,1,1
"108",1,1,1,28,"129-1",0,542.5,0,0,7
"108.1",1,1,1,28,"129-1",0,542.5,0,0,7
"108.2",1,1,1,28,"129-1",0,542.5,0,0,7
"108.3",1,1,1,28,"129-1",0,542.5,0,0,7
"108.4",1,1,1,28,"129-1",0,542.5,0,0,7
"108.5",1,1,1,28,"129-1",0,542.5,0,0,7
"108.6",1,1,1,28,"129-1",0,542.5,0,0,7
"109",1,1,1,29,"77-1",0,150.3333333,1,1,10
"109.1",1,1,1,29,"77-1",0,150.3333333,1,1,10
"109.2",1,1,1,29,"77-1",0,150.3333333,1,1,10
"109.3",1,1,1,29,"77-1",0,150.3333333,1,1,10
"109.4",1,1,1,29,"77-1",0,150.3333333,1,1,10
"109.5",1,1,1,29,"77-1",0,150.3333333,1,1,10
"109.6",1,1,1,29,"77-1",0,150.3333333,1,1,10
"109.7",1,1,1,29,"77-1",0,150.3333333,1,1,10
"109.8",1,1,1,29,"77-1",0,150.3333333,1,1,10
"109.9",1,1,1,29,"77-1",0,150.3333333,1,1,10
"110",1,1,1,30,"Johnny's",10,245.9666667,1,1,4
"110.1",1,1,1,30,"Johnny's",10,245.9666667,1,1,4
"110.2",1,1,1,30,"Johnny's",10,245.9666667,1,1,4
"110.3",1,1,1,30,"Johnny's",10,245.9666667,1,1,4
"111",1,1,1,30,"Johnny's",10,294.9166667,1,1,4
"111.1",1,1,1,30,"Johnny's",10,294.9166667,1,1,4
"111.2",1,1,1,30,"Johnny's",10,294.9166667,1,1,4
"111.3",1,1,1,30,"Johnny's",10,294.9166667,1,1,4
"112",1,1,1,30,"Johnny's",10,342.0333333,1,1,1
"113",1,1,1,30,"Johnny's",10,389.8833333,1,1,1
"114",1,1,1,31,"118-2",15,245.9666667,1,1,1
"115",1,1,1,31,"118-2",15,294.9166667,1,1,3
"115.1",1,1,1,31,"118-2",15,294.9166667,1,1,3
"115.2",1,1,1,31,"118-2",15,294.9166667,1,1,3
"116",1,1,1,31,"118-2",15,342.0333333,1,1,3
"116.1",1,1,1,31,"118-2",15,342.0333333,1,1,3
"116.2",1,1,1,31,"118-2",15,342.0333333,1,1,3
"117",1,1,1,31,"118-2",15,389.8833333,1,1,1
"118",1,1,1,31,"118-2",15,437.6333333,1,1,1
"119",1,1,1,31,"118-2",15,542.5,0,0,1
"120",1,1,1,32,"186-1",20,150.3333333,1,1,1
"121",1,1,1,32,"186-1",20,198.1166667,1,1,1
"122",1,1,1,32,"186-1",20,437.6333333,1,1,1
"123",1,1,1,32,"186-1",20,542.5,0,1,4
"123.1",1,1,1,32,"186-1",20,542.5,0,1,4
"123.2",1,1,1,32,"186-1",20,542.5,0,1,4
"123.3",1,1,1,32,"186-1",20,542.5,0,1,4
"124",1,1,1,32,"186-1",20,542.5,0,0,3
"124.1",1,1,1,32,"186-1",20,542.5,0,0,3
"124.2",1,1,1,32,"186-1",20,542.5,0,0,3
"125",1,1,1,33,"142-2",0,101.9,1,1,1
"126",1,1,1,33,"142-2",0,150.3333333,1,1,2
"126.1",1,1,1,33,"142-2",0,150.3333333,1,1,2
"127",1,1,1,33,"142-2",0,198.1166667,1,1,3
"127.1",1,1,1,33,"142-2",0,198.1166667,1,1,3
"127.2",1,1,1,33,"142-2",0,198.1166667,1,1,3
"128",1,1,1,33,"142-2",0,542.5,0,1,3
"128.1",1,1,1,33,"142-2",0,542.5,0,1,3
"128.2",1,1,1,33,"142-2",0,542.5,0,1,3
"129",1,1,1,33,"142-2",0,542.5,0,0,1
"130",1,1,1,34,"218-2",10,101.9,1,1,2
"130.1",1,1,1,34,"218-2",10,101.9,1,1,2
