sampleid,line,X,rep,run,shelf,plate,trt,end,status,viable,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
CanAnil1,75-1,12,1,1,1,3,10,198.1,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_3
CanAnil1,75-1,12.1,1,1,1,3,10,198.1,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_3
CanAnil1,75-1,11.2,1,1,1,3,10,150.3,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_3
CanAnil1,75-1,7080.1,4,7,2,50,0,344.8,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,12.2,1,1,1,3,10,198.1,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_3
CanAnil1,75-1,5484.1,3,5,3,86,15,109.5,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_86
CanAnil1,75-1,211,1,1,2,54,15,246,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,5805,3,5,6,207,10,109.5,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
CanAnil1,75-1,209.1,1,1,2,54,15,150.4,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,5809,3,5,6,207,10,493.5,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
CanAnil1,75-1,11.1,1,1,1,3,10,150.3,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_3
CanAnil1,75-1,7080,4,7,2,50,0,344.8,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,5488,3,5,3,86,15,303.8,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_86
CanAnil1,75-1,2540.5,2,3,1,8,15,158,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_8
CanAnil1,75-1,2540.2,2,3,1,8,15,158,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_8
CanAnil1,75-1,624.1,1,1,5,157,20,342.4,1,1,4,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_157
CanAnil1,75-1,624,1,1,5,157,20,342.4,1,1,4,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_157
CanAnil1,75-1,210,1,1,2,54,15,198.2,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,209,1,1,2,54,15,150.4,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,5806.1,3,5,6,207,10,156.8,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
CanAnil1,75-1,5487,3,5,3,86,15,254,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_86
CanAnil1,75-1,7079.5,4,7,2,50,0,253,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,86,1,1,1,22,0,542.5,0,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_22
