"","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use"
"92","CanAbasolo1","215-1",5002.5,3,6,3,94,20,528,0,0,8,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"93","CanAbasolo1","215-1",7932.3,4,8,2,56,20,500,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"94","CanAbasolo1","215-1",4465.2,2,3,9,322,15,156.7,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"95","CanAbasolo1","215-1",300.4,1,1,3,78,15,542.5,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"96","CanAbasolo1","215-1",4939.2,3,6,2,37,15,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"97","CanAbasolo1","215-1",4939.6,3,6,2,37,15,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"98","CanAbasolo1","215-1",5002.2,3,6,3,94,20,528,0,0,8,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"99","CanAbasolo1","215-1",8308.1,4,8,5,176,15,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"100","CanAbasolo1","215-1",6186.1,3,6,2,37,15,167.99,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"101","CanAbasolo1","215-1",916,1,1,7,237,10,440.2333333,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"102","CanAbasolo1","215-1",6307,3,6,3,94,20,167.99,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"103","CanAbasolo1","215-1",4466.2,2,3,9,322,15,496,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"104","CanAbasolo1","215-1",3080,2,3,5,170,10,494.6,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"105","CanAbasolo1","215-1",946,1,1,7,245,20,542.5,0,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"106","CanAbasolo1","215-1",945,1,1,7,245,20,295.3833333,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
