,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use
56,CanAbasolo1,215-1,3252.3,2,3,9,322,15,156.7,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
57,CanAbasolo1,215-1,5953.1,3,6,3,94,20,528,0,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
58,CanAbasolo1,215-1,5953,3,6,3,94,20,528,0,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
59,CanAbasolo1,215-1,8103.1,4,8,2,56,20,500,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
60,CanAbasolo1,215-1,331.1,1,1,3,96,0,246.05,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
61,CanAbasolo1,215-1,6667,3,6,7,248,10,528,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
62,CanAbasolo1,215-1,8867.1,4,8,8,276,10,114.25,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
63,CanAbasolo1,215-1,8868,4,8,8,276,10,164,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
64,CanAbasolo1,215-1,8100,4,8,2,56,20,308.1666667,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
65,CanAbasolo1,215-1,332.2,1,1,3,96,0,542.5,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
66,CanAbasolo1,215-1,6668,3,6,7,248,10,528,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
67,CanAbasolo1,215-1,332.1,1,1,3,96,0,542.5,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
