,X.1,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
2709,2709,CanCoat6,131-2,3111,2,3,8,273,10,157.1,1,9,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2716,2716,CanCoat6,131-2,6729.1,3,6,8,266,20,168,1,2,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
2721,2721,CanCoat6,131-2,8834.2,4,8,8,268,10,164,1,3,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2728,2728,CanCoat6,131-2,6729,3,6,8,266,20,168,1,2,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
2735,2735,CanCoat6,131-2,8835,4,8,8,268,10,258,1,1,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2736,2736,CanCoat6,131-2,8834.1,4,8,8,268,10,164,1,3,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2738,2738,CanCoat6,131-2,8834,4,8,8,268,10,164,1,3,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2746,2746,CanCoat6,131-2,8836,4,8,8,268,10,453,1,1,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_268
2752,2752,CanCoat6,131-2,6735,3,6,8,266,20,Inf,0,1,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_266
2782,2782,CanCoat6,131-2,3111.8,2,3,8,273,10,157.1,1,9,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2785,2785,CanCoat6,131-2,3111.6,2,3,8,273,10,157.1,1,9,14CAg131-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,3_273
2920,2920,CanCoat7,132-2,15,1,1,1,4,15,150.3,1,2,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
2997,2997,CanCoat7,132-2,16.4,1,1,1,4,15,198.1,1,5,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
3012,3012,CanCoat7,132-2,16.3,1,1,1,4,15,198.1,1,5,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
3018,3018,CanCoat7,132-2,16.1,1,1,1,4,15,198.1,1,5,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
3041,3041,CanCoat7,132-2,17,1,1,1,4,15,246,1,1,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
3049,3049,CanCoat7,132-2,19,1,1,1,4,15,Inf,0,1,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
3051,3051,CanCoat7,132-2,16,1,1,1,4,15,198.1,1,5,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
3055,3055,CanCoat7,132-2,16.2,1,1,1,4,15,198.1,1,5,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
3059,3059,CanCoat7,132-2,18,1,1,1,4,15,342,1,1,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
3061,3061,CanCoat7,132-2,15.1,1,1,1,4,15,150.3,1,2,14CAg132-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,1_4
3389,3389,CanEjutla1,190-1,492,1,1,4,140,0,Inf,0,1,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3391,3391,CanEjutla1,190-1,882,1,1,8,262,10,102.3,1,1,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
