"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"945",945,"CanAnil3","77-1",2647.5,2,"3",3,108,20,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_108"
"946",946,"CanAnil3","77-1",84.2,1,"1",1,24,15,101.9,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_24"
"947",947,"CanAnil3","77-1",3173.9,2,"3",9,295,15,156.7,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_295"
"950",950,"CanAnil3","77-1",30.2,1,"1",1,9,10,101.9,1,7,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
"952",952,"CanAnil3","77-1",103.7,1,"1",1,29,0,150.3,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_29"
"954",954,"CanAnil3","77-1",2549.7,2,"3",3,75,10,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_75"
"955",955,"CanAnil3","77-1",31.2,1,"1",1,9,10,150.3,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
"957",957,"CanAnil3","77-1",7105,4,"7",1,25,10,298.8,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_25"
"958",958,"CanAnil3","77-1",2549.6,2,"3",3,75,10,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_75"
"959",959,"CanAnil3","77-1",2549.8,2,"3",3,75,10,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_75"
"960",960,"CanAnil3","77-1",2647,2,"3",3,108,20,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_108"
"963",963,"CanAnil3","77-1",7103.2,4,"7",1,25,10,153.8,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_25"
"964",964,"CanAnil3","77-1",3173.1,2,"3",9,295,15,156.7,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_295"
