"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"456",456,"CanAnil1","75-1",624.3,1,"1",5,157,20,342.4,1,1,4,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"457",457,"CanAnil1","75-1",2551,2,"3",1,11,0,206.8,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"458",458,"CanAnil1","75-1",5807.2,3,"5",6,207,10,207,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"459",459,"CanAnil1","75-1",6930.3,4,"7",1,7,15,503,0,1,9,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"460",460,"CanAnil1","75-1",7079.4,4,"7",2,50,0,253,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"461",461,"CanAnil1","75-1",6930.5,4,"7",1,7,15,503,0,1,9,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"462",462,"CanAnil1","75-1",6930.4,4,"7",1,7,15,503,0,1,9,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"463",463,"CanAnil1","75-1",5453,3,"5",3,76,20,207,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_76"
"465",465,"CanAnil1","75-1",7078,4,"7",2,50,0,153.8,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"466",466,"CanAnil1","75-1",7439.3,4,"7",5,179,10,396,1,1,5,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_179"
"468",468,"CanAnil1","75-1",624.2,1,"1",5,157,20,342.4,1,1,4,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"469",469,"CanAnil1","75-1",2552,2,"3",1,11,0,496,0,0,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"470",470,"CanAnil1","75-1",6929,4,"7",1,7,15,153.8,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"471",471,"CanAnil1","75-1",2552.1,2,"3",1,11,0,496,0,0,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"472",472,"CanAnil1","75-1",5806,3,"5",6,207,10,156.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"473",473,"CanAnil1","75-1",5485.1,3,"5",3,86,15,156.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_86"
"474",474,"CanAnil1","75-1",6930,4,"7",1,7,15,503,0,1,9,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"475",475,"CanAnil1","75-1",7714.1,4,"7",9,305,20,503,0,1,8,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_305"
"476",476,"CanAnil1","75-1",83.3,1,"1",1,22,0,198.1,1,1,4,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"477",477,"CanAnil1","75-1",7439.4,4,"7",5,179,10,396,1,1,5,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_179"
"478",478,"CanAnil1","75-1",83.1,1,"1",1,22,0,198.1,1,1,4,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"479",479,"CanAnil1","75-1",7714.3,4,"7",9,305,20,503,0,1,8,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_305"
