rep,run,shelf,plate,line,trt,type,end,status,viable,number,notes
3,5,4,141,126-2,20,,522,0,0,5,
3,5,4,142,146-1,15,,522,0,0,5,
3,5,4,144,143-1,20,,522,0,0,6,
3,5,5,147,98-2,20,,522,0,0,1,
3,5,5,148,183-1,0,,522,0,0,8,
3,5,5,150,181-1,15,,522,0,0,1,
3,5,5,152,134-2,10,,522,0,0,1,
3,5,5,156,128-1,15,,522,0,0,6,
5,5,5,162,173-1,10,,522,0,0,4,
3,5,5,163,129-1,10,,522,0,0,9,
3,5,5,166,Johnny's,20,,522,0,0,3,
3,5,5,168,177-2,15,,522,0,0,5,
3,5,5,169,167-1,15,,522,0,0,7,
3,5,5,171,Johnny's,0,,522,0,0,2,
3,5,5,174,151-2,10,,522,0,0,5,
3,5,5,175,167-1,0,,522,0,0,8,
3,5,5,176,139-1,20,,522,0,0,5,
3,5,5,177,125-2,20,,522,0,0,2,
3,5,5,179,150-1,15,,522,0,0,6,
3,5,5,180,169-2,10,,522,0,0,5,
3,5,6,181,149-2,15,,522,0,0,5,
3,5,6,184,98-2,15,,522,0,0,2,
3,5,6,188,182-1,20,,522,0,0,3,
3,5,6,189,143-1,0,,522,0,0,2,
3,5,6,190,148-1,20,,522,0,0,5,
3,5,6,193,149-1,15,,522,0,0,2,
3,5,6,194,129-1,15,,522,0,0,7,
3,5,6,195,130-2,15,,522,0,0,8,
3,5,6,196,Johnny's,15,,522,0,0,3,
3,5,6,198,183-1,10,,522,0,0,3,
3,5,6,200,142-2,0,,522,0,0,2,
3,5,6,205,174-2,0,,522,0,0,3,
3,5,6,206,137-1,10,,522,0,0,2,
3,5,6,208,139-1,15,,522,0,0,7,
3,5,6,209,173-2,15,,522,0,0,6,
3,5,6,210,146-1,20,,522,0,0,6,
3,5,7,220,81-2,0,,522,0,0,1,
3,5,7,225,126-2,10,,522,0,0,3,
3,5,7,227,148-1,15,,522,0,0,7,
3,5,7,229,124-1,0,,522,0,0,2,
3,5,7,231,81-2,20,,522,0,0,1,
3,5,7,232,164-1,0,,522,0,0,5,
3,5,7,242,173-2,10,,522,0,0,8,
3,5,7,243,128-1,20,,522,0,0,4,
3,5,8,253,Johnny's,15,,522,0,0,1,
3,5,8,254,137-1,20,,522,0,0,3,
3,5,8,255,84-1,15,,522,0,0,1,
3,5,8,256,174-1,20,,522,0,0,3,
3,5,8,257,118-2,10,,522,0,0,1,
3,5,8,258,149-1,10,,522,0,0,1,
3,5,8,260,106-1,10,,522,0,0,2,
3,5,8,261,215-2,15,,522,0,0,9,
3,5,8,265,88-1,10,,522,0,0,1,
3,5,8,266,76-1,20,,522,0,0,2,
3,5,8,267,182-1,10,,522,0,0,2,
3,5,8,270,Johnny's,10,,522,0,0,2,
3,5,8,274,177-1,15,,522,0,0,7,
3,5,8,276,173-1,0,,522,0,0,6,
3,5,8,279,128-1,10,,522,0,0,7,
3,5,8,280,Johnny's,15,,522,0,0,3,
3,5,8,282,125-1,15,,522,0,0,1,
3,5,8,283,146-1,0,,522,0,0,4,
3,5,8,284,100-1,15,,522,0,0,3,
3,5,8,287,104-1,15,,522,0,0,3,
3,5,9,289,135-2,15,,522,0,0,9,
3,5,9,290,204-2,20,,522,0,0,1,
3,5,9,291,215-2,20,,522,0,0,7,
3,5,9,295,153-1,0,,522,0,0,5,
3,5,9,298,174-2,15,,522,0,0,2,
3,5,9,299,164-1,15,,522,0,0,1,
3,5,9,300,146-1,10,,522,0,0,3,
3,5,9,317,150-1,10,,522,0,0,1,
3,5,9,318,100-1,15,,522,0,0,1,
3,5,9,320,182-1,15,,522,0,0,7,
3,5,9,321,179-1,15,,522,0,0,2,
3,5,9,322,77-2,20,,522,0,0,1,
3,6,1,1,219-1,20,,528,0,0,5,
3,6,1,1,219-1,20,,528,0,1,4,
3,6,1,2,102-1,10,,528,0,0,3,
3,6,1,2,102-1,10,,528,0,1,2,
3,6,1,3,150-2,0,,528,0,0,9,
3,6,1,7,140-1,0,,528,0,0,8,
3,6,1,8,Johnny's,0,,528,0,0,4,
3,6,1,9,79-1,15,,528,0,0,3,
3,6,1,10,185-1,0,,528,0,0,2,
3,6,1,11,184-1,0,,528,0,0,3,
3,6,1,12,100-1,0,,528,0,0,2,
3,6,1,13,126-1,10,,528,0,0,4,
3,6,1,14,132-1,20,,528,0,0,9,
3,6,1,15,219-1,0,,528,0,0,3,
3,6,1,15,219-1,0,,528,0,1,4,
3,6,1,16,156-1,10,,528,0,0,4,
3,6,1,17,215-1,0,,528,0,0,5,
3,6,1,18,134-1,20,,528,0,0,7,
3,6,1,19,190-2,10,,528,0,0,7,
3,6,1,20,119-2,20,,528,0,1,9,
3,6,1,23,102-1,15,,528,0,0,1,
3,6,1,24,131-1,20,,528,0,0,3,
3,6,1,24,131-1,20,,528,0,1,2,
3,6,1,25,122-2,0,,528,0,0,2,
3,6,1,26,109-2,10,,528,0,0,3,
3,6,1,27,92-1,15,,528,0,0,4,
3,6,1,27,92-1,15,,528,0,1,2,
3,6,1,28,100-1,15,,528,0,0,1,
3,6,1,29,144-2,0,,528,0,0,7,
3,6,1,30,109-1,20,,528,0,0,6,
3,6,1,30,109-1,20,,528,0,1,3,
3,6,1,31,165-1,15,,528,0,0,3,
3,6,1,32,208-1,10,,528,0,0,2,
3,6,1,32,208-1,10,,528,0,1,3,
3,6,1,33,Johnny's,20,,528,0,0,3,
3,6,1,33,Johnny's,20,,528,0,1,3,
3,6,1,34,217-1,15,,528,0,0,1,
3,6,1,35,138-2,15,,528,0,0,7,
3,6,1,36,145-2,15,,528,0,0,5,
3,6,2,37,215-1,15,,528,0,0,7,
3,6,2,38,134-1,10,,528,0,0,8,
3,6,2,39,138-1,15,,528,0,0,8,
3,6,2,39,138-1,15,,528,0,1,1,
3,6,2,41,122-2,10,,528,0,0,1,
3,6,2,42,141-2,15,,528,0,0,6,
3,6,2,44,165-1,0,,528,0,0,7,
3,6,2,45,219-1,10,,528,0,0,7,
3,6,2,45,219-1,10,,528,0,1,3,
3,6,2,46,147-2,15,,528,0,0,3,
3,6,2,47,130-1,0,,528,0,0,3,
3,6,2,49,100-1,15,,528,0,0,5,
3,6,2,49,100-1,15,,528,0,1,1,
3,6,2,51,105-1,10,,528,0,0,6,
3,6,2,52,Johnny's,20,,528,0,0,7,
3,6,2,53,217-2,15,,528,0,0,4,
3,6,2,55,119-2,10,,528,0,0,5,
3,6,2,56,168-1,10,,528,0,0,1,
3,6,2,57,152-1,0,,528,0,0,2,
3,6,2,58,77-1,20,,528,0,0,1,
3,6,2,59,189-1,20,,528,0,0,3,
3,6,2,60,208-1,20,,528,0,0,3,
3,6,2,60,208-1,20,,528,0,1,3,
3,6,2,61,Johnny's,10,,528,0,0,6,
3,6,2,63,100-1,20,,528,0,0,1,
3,6,2,63,100-1,20,,528,0,1,4,
3,6,2,64,147-1,15,,528,0,0,5,
3,6,2,64,147-1,15,,528,0,1,1,
3,6,2,65,151-1,10,,528,0,0,5,
3,6,2,66,187-2,20,,528,0,0,4,
3,6,2,66,187-2,20,,528,0,1,5,
3,6,2,67,187-2,0,,528,0,0,5,
3,6,2,67,187-2,0,,528,0,1,1,
3,6,2,68,163-2,20,,528,0,0,3,
3,6,2,69,144-1,10,,528,0,0,2,
3,6,2,71,100-2,0,,528,0,0,5,
3,6,2,71,100-2,0,,528,0,1,2,
3,6,2,72,141-1,10,,528,0,0,5,
3,6,3,73,208-1,0,,528,0,0,1,
3,6,3,74,202-1,10,,528,0,0,4,
3,6,3,75,136-2,10,,528,0,0,4,
3,6,3,76,122-1,20,,528,0,1,9,
3,6,3,77,184-1,15,,528,0,0,3,
3,6,3,77,184-1,15,,528,0,1,1,
3,6,3,78,170-1,0,,528,0,0,3,
3,6,3,79,163-1,20,,528,0,0,3,
3,6,3,79,163-1,20,,528,0,1,2,
3,6,3,80,179-2,20,,528,0,0,5,
3,6,3,80,179-2,20,,528,0,1,2,
3,6,3,81,144-2,10,,528,0,0,6,
3,6,3,82,189-1,0,,528,0,0,7,
3,6,3,83,138-2,0,,528,0,0,8,
3,6,3,84,120-1,10,,528,0,0,6,
3,6,3,85,140-2,15,,528,0,0,7,
3,6,3,86,187-1,20,,528,0,1,4,
3,6,3,87,138-1,20,,528,0,0,7,
3,6,3,88,138-1,10,,528,0,0,9,
3,6,3,89,93-1,20,,528,0,0,1,
3,6,3,89,93-1,20,,528,0,1,3,
3,6,3,90,100-1,0,,528,0,0,2,
3,6,3,92,Johnny's,15,,528,0,0,4,
3,6,3,92,Johnny's,15,,528,0,1,3,
3,6,3,93,179-2,10,,528,0,0,1,
3,6,3,94,215-1,20,,528,0,0,8,
3,6,3,94,215-1,20,,528,0,1,1,
3,6,3,95,105-1,15,,528,0,0,5,
3,6,3,95,105-1,15,,528,0,1,3,
3,6,3,96,187-2,15,,528,0,0,8,
3,6,3,96,187-2,15,,528,0,1,2,
3,6,3,97,92-1,10,,528,0,0,2,
3,6,3,97,92-1,10,,528,0,1,5,
3,6,3,98,170-1,10,,528,0,0,7,
3,6,3,100,104-2,15,,528,0,0,1,
3,6,3,100,104-2,15,,528,0,1,1,
3,6,3,101,145-2,20,,528,0,0,8,
3,6,3,102,132-1,10,,528,0,0,9,
3,6,3,103,217-2,20,,528,0,0,3,
3,6,3,103,217-2,20,,528,0,1,6,
3,6,3,104,169-1,20,,528,0,0,4,
3,6,3,104,169-1,20,,528,0,1,2,
3,6,3,106,Johnny's,0,,528,0,0,3,
3,6,3,106,Johnny's,0,,528,0,1,3,
3,6,3,107,93-1,15,,528,0,0,4,
3,6,3,107,93-1,15,,528,0,1,2,
3,6,3,108,216-1,10,,528,0,0,6,
3,6,4,109,163-1,15,,528,0,0,3,
3,6,4,110,151-1,20,,528,0,0,6,
3,6,4,111,119-2,0,,528,0,0,2,
3,6,4,112,216-1,0,,528,0,0,7,
3,6,4,113,93-1,10,,528,0,0,5,
3,6,4,114,151-1,0,,528,0,0,7,
3,6,4,115,189-1,10,,528,0,0,7,
3,6,4,116,128-2,10,,528,0,0,9,
3,6,4,117,141-2,20,,528,0,0,8,
3,6,4,118,163-2,10,,528,0,0,1,
3,6,4,119,188-2,20,,528,0,0,4,
3,6,4,119,188-2,20,,528,0,1,4,
3,6,4,120,100-1,15,,528,0,0,3,
3,6,4,120,100-1,15,,528,0,1,1,
3,6,4,121,145-1,20,,528,0,0,7,
3,6,4,121,145-1,20,,528,0,1,1,
3,6,4,122,216-1,15,,528,0,0,5,
3,6,4,123,156-1,0,,528,0,0,1,
3,6,4,123,156-1,0,,528,0,1,1,
3,6,4,124,122-1,0,,528,0,0,5,
3,6,4,126,131-1,15,,528,0,0,5,
3,6,4,127,Johnny's,0,,528,0,0,2,
3,6,4,127,Johnny's,0,,528,0,1,1,
3,6,4,128,137-2,0,,528,0,0,6,
3,6,4,129,92-1,0,,528,0,0,2,
3,6,4,130,122-2,20,,528,0,0,2,
3,6,4,130,122-2,20,,528,0,1,7,
3,6,4,131,145-2,10,,528,0,0,6,
3,6,4,132,109-1,10,,528,0,0,5,
3,6,4,132,109-1,10,,528,0,1,2,
3,6,4,133,163-1,10,,528,0,0,4,
3,6,4,134,145-2,0,,528,0,0,5,
3,6,4,136,136-1,0,,528,0,0,2,
3,6,4,137,79-1,0,,528,0,0,2,
3,6,4,138,169-1,0,,528,0,0,1,
3,6,4,139,190-1,15,,528,0,0,4,
3,6,4,139,190-1,15,,528,0,1,1,
3,6,4,141,Johnny's,0,,528,0,0,2,
3,6,4,141,Johnny's,0,,528,0,1,1,
3,6,4,142,131-2,15,,528,0,0,3,
3,6,4,142,131-2,15,,528,0,1,2,
3,6,4,144,Johnny's,15,,528,0,0,4,
3,6,4,144,Johnny's,15,,528,0,1,1,
3,6,5,145,104-2,10,,528,0,0,1,
3,6,5,148,144-1,0,,528,0,0,8,
3,6,5,149,151-1,15,,528,0,0,6,
3,6,5,150,185-1,15,,528,0,0,5,
3,6,5,151,105-1,0,,528,0,0,1,
3,6,5,152,184-1,10,,528,0,0,2,
3,6,5,153,109-1,0,,528,0,0,2,
3,6,5,154,77-1,0,,528,0,0,1,
3,6,5,156,104-2,0,,528,0,0,1,
3,6,5,157,152-1,10,,528,0,0,3,
3,6,5,158,136-1,10,,528,0,0,4,
3,6,5,159,170-1,15,,528,0,0,2,
3,6,5,160,Johnny's,20,,528,0,0,2,
3,6,5,160,Johnny's,20,,528,0,1,5,
3,6,5,161,147-2,20,,528,0,0,4,
3,6,5,161,147-2,20,,528,0,1,1,
3,6,5,162,100-2,15,,528,0,0,3,
3,6,5,163,219-1,15,,528,0,0,6,
3,6,5,164,217-2,0,,528,0,0,5,
3,6,5,165,137-2,15,,528,0,0,6,
3,6,5,166,144-1,15,,528,0,0,4,
3,6,5,167,170-1,20,,528,0,0,1,
3,6,5,168,140-2,20,,528,0,0,8,
3,6,5,169,179-2,15,,528,0,0,1,
3,6,5,170,132-2,20,,528,0,0,2,
3,6,5,170,132-2,20,,528,0,1,1,
3,6,5,171,130-1,15,,528,0,0,3,
3,6,5,172,126-1,0,,528,0,0,2,
3,6,5,173,150-2,10,,528,0,0,8,
3,6,5,174,188-2,0,,528,0,0,3,
3,6,5,176,187-1,0,,528,0,0,3,
3,6,5,177,126-1,15,,528,0,0,2,
3,6,5,177,126-1,15,,528,0,1,4,
3,6,5,178,141-2,10,,528,0,0,5,
3,6,6,181,147-2,0,,528,0,0,4,
3,6,6,182,190-1,20,,528,0,0,5,
3,6,6,183,109-1,15,,528,0,1,3,
3,6,6,184,190-1,10,,528,0,0,4,
3,6,6,185,134-1,0,,528,0,0,5,
3,6,6,186,208-1,15,,528,0,0,2,
3,6,6,186,208-1,15,,528,0,1,1,
3,6,6,187,109-2,0,,528,0,0,3,
3,6,6,188,186-1,20,,528,0,0,7,
3,6,6,188,186-1,20,,528,0,1,1,
3,6,6,189,136-2,0,,528,0,0,3,
3,6,6,190,140-2,0,,528,0,0,6,
3,6,6,191,75-2,15,,528,0,0,2,
3,6,6,192,188-2,15,,528,0,0,5,
3,6,6,194,132-1,15,,528,0,0,9,
3,6,6,195,145-1,15,,528,0,0,9,
3,6,6,196,98-1,0,,528,0,0,2,
3,6,6,197,190-2,0,,528,0,0,4,
3,6,6,197,190-2,0,,528,0,1,1,
3,6,6,198,204-1,20,,528,0,0,4,
3,6,6,198,204-1,20,,528,0,1,6,
3,6,6,199,169-1,15,,528,0,0,3,
3,6,6,200,136-2,15,,528,0,0,6,
3,6,6,201,122-1,10,,528,0,0,8,
3,6,6,202,Johnny's,10,,528,0,0,2,
3,6,6,204,141-2,0,,528,0,0,7,
3,6,6,205,147-1,20,,528,0,0,7,
3,6,6,205,147-1,20,,528,0,1,1,
3,6,6,206,179-2,0,,528,0,0,3,
3,6,6,207,100-2,20,,528,0,1,5,
3,6,6,208,137-2,20,,528,0,0,8,
3,6,6,209,156-1,20,,528,0,0,2,
3,6,6,209,156-1,20,,528,0,1,5,
3,6,6,210,Johnny's,10,,528,0,0,4,
3,6,6,212,169-1,10,,528,0,0,1,
3,6,6,213,165-1,10,,528,0,0,5,
3,6,6,214,102-1,20,,528,0,0,1,
3,6,6,214,102-1,20,,528,0,1,6,
3,6,6,216,189-1,15,,528,0,0,5,
3,6,7,217,77-1,10,,528,0,0,1,
3,6,7,220,100-2,10,,528,0,1,7,
3,6,7,221,136-1,15,,528,0,0,3,
3,6,7,223,126-1,20,,528,0,0,2,
3,6,7,223,126-1,20,,528,0,1,8,
3,6,7,224,100-1,15,,528,0,0,2,
3,6,7,224,100-1,15,,528,0,1,2,
3,6,7,226,144-1,20,,528,0,0,4,
3,6,7,226,144-1,20,,528,0,1,5,
3,6,7,227,136-2,20,,528,0,0,4,
3,6,7,227,136-2,20,,528,0,1,4,
3,6,7,228,186-1,15,,528,0,0,8,
3,6,7,229,77-1,15,,528,0,0,1,
3,6,7,231,120-1,0,,528,0,0,6,
3,6,7,232,131-1,10,,528,0,0,4,
3,6,7,233,93-1,0,,528,0,0,6,
3,6,7,235,141-1,15,,528,0,0,7,
3,6,7,237,104-2,20,,528,0,0,3,
3,6,7,237,104-2,20,,528,0,1,5,
3,6,7,238,109-2,15,,528,0,0,2,
3,6,7,238,109-2,15,,528,0,1,1,
3,6,7,239,Johnny's,15,,528,0,0,2,
3,6,7,239,Johnny's,15,,528,0,1,6,
3,6,7,240,100-1,20,,528,0,1,7,
3,6,7,241,186-1,10,,528,0,0,7,
3,6,7,242,185-1,20,,528,0,0,2,
3,6,7,242,185-1,20,,528,0,1,4,
3,6,7,243,137-2,10,,528,0,0,4,
3,6,7,244,141-1,20,,528,0,0,6,
3,6,7,245,109-2,20,,528,0,0,3,
3,6,7,245,109-2,20,,528,0,1,4,
3,6,7,247,147-2,10,,528,0,1,2,
3,6,7,248,215-1,10,,528,0,0,7,
3,6,7,252,Johnny's,10,,528,0,0,2,
3,6,7,252,Johnny's,10,,528,0,1,4,
3,6,8,253,144-2,15,,528,0,0,5,
3,6,8,255,141-1,0,,528,0,0,5,
3,6,8,255,141-1,0,,528,0,1,3,
3,6,8,257,165-1,20,,528,0,0,5,
3,6,8,257,165-1,20,,528,0,1,1,
3,6,8,258,79-1,10,,528,0,0,5,
3,6,8,258,79-1,10,,528,0,1,2,
3,6,8,259,75-2,0,,528,0,0,3,
3,6,8,260,147-1,0,,528,0,0,4,
3,6,8,261,130-1,10,,528,0,0,6,
3,6,8,262,130-1,20,,528,0,0,5,
3,6,8,263,152-1,15,,528,0,0,2,
3,6,8,266,131-2,20,,528,0,0,1,
3,6,8,266,131-2,20,,528,0,1,2,
3,6,8,267,217-2,10,,528,0,0,2,
3,6,8,268,163-1,0,,528,0,0,8,
3,6,8,269,120-1,15,,528,0,0,5,
3,6,8,270,136-1,20,,528,0,0,4,
3,6,8,271,202-1,20,,528,0,0,1,
3,6,8,271,202-1,20,,528,0,1,3,
3,6,8,272,132-2,10,,528,0,0,7,
3,6,8,273,140-1,10,,528,0,0,8,
3,6,8,274,144-2,20,,528,0,0,2,
3,6,8,274,144-2,20,,528,0,1,1,
3,6,8,276,147-1,10,,528,0,0,8,
3,6,8,277,132-2,15,,528,0,0,7,
3,6,8,279,100-1,20,,528,0,0,1,
3,6,8,279,100-1,20,,528,0,1,6,
3,6,8,280,138-1,0,,528,0,0,8,
3,6,8,281,119-2,15,,528,0,0,2,
3,6,8,282,105-1,20,,528,0,0,5,
3,6,8,282,105-1,20,,528,0,1,5,
3,6,8,283,100-1,0,,528,0,0,1,
3,6,8,284,187-1,15,,528,0,0,4,
3,6,8,284,187-1,15,,528,0,1,4,
3,6,8,285,140-2,10,,528,0,0,8,
3,6,8,286,190-2,20,,528,0,0,3,
3,6,8,287,163-2,0,,528,0,0,1,
3,6,9,289,120-1,20,,528,0,0,4,
3,6,9,289,120-1,20,,528,0,1,1,
3,6,9,292,122-1,15,,528,0,0,5,
3,6,9,293,132-2,0,,528,0,0,3,
3,6,9,294,187-1,10,,528,0,0,4,
3,6,9,294,187-1,10,,528,0,1,2,
3,6,9,295,202-1,15,,528,0,0,2,
3,6,9,296,134-1,15,,528,0,0,7,
3,6,9,297,Johnny's,20,,528,0,0,6,
3,6,9,297,Johnny's,20,,528,0,1,4,
3,6,9,298,Johnny's,15,,528,0,0,4,
3,6,9,299,186-1,0,,528,0,0,8,
3,6,9,300,190-1,0,,528,0,0,4,
3,6,9,301,131-2,0,,528,0,0,2,
3,6,9,302,131-1,0,,528,0,0,1,
3,6,9,302,131-1,0,,528,0,1,3,
3,6,9,303,92-1,20,,528,0,1,6,
3,6,9,304,187-2,10,,528,0,0,3,
3,6,9,305,75-2,20,,528,0,0,5,
3,6,9,305,75-2,20,,528,0,1,3,
3,6,9,306,184-1,20,,528,0,0,4,
3,6,9,309,190-2,15,,528,0,0,2,
3,6,9,310,122-2,15,,528,0,0,1,
3,6,9,311,128-2,15,,528,0,1,3,
3,6,9,314,100-1,10,,528,0,0,1,
3,6,9,316,204-1,0,,528,0,0,2,
3,6,9,317,100-1,20,,528,0,0,2,
3,6,9,317,100-1,20,,528,0,1,3,
3,6,9,318,138-2,20,,528,0,0,5,
3,6,9,319,75-2,10,,528,0,0,9,
3,6,9,319,75-2,10,,528,0,1,1,
3,6,9,320,163-2,15,,528,0,0,4,
3,6,9,321,138-2,10,,528,0,0,4,
3,6,9,322,131-2,10,,528,0,0,2,
3,6,9,323,217-1,20,,528,0,0,4,
3,6,9,323,217-1,20,,528,0,1,2,
3,6,9,324,150-2,15,,528,0,0,8,
3,5,1,1,188-1,10,,156.75,1,1,2,dry
3,5,1,1,188-1,10,,207,1,1,2,dry
3,5,1,1,188-1,10,,254,1,1,3,dry
3,5,1,1,188-1,10,,303.75,1,1,1,dry
3,5,1,1,188-1,10,,352,1,1,1,dry
3,5,1,2,106-1,15,,207,1,1,3,
3,5,1,2,106-1,15,,303.75,1,1,1,
3,5,1,2,106-1,15,,397.5,1,1,2,
3,5,1,2,106-1,15,,446,1,1,1,
3,5,1,3,182-1,0,,207,1,1,1,
3,5,1,3,182-1,0,,303.75,1,1,1,
3,5,1,6,185-2,15,,397.5,1,1,1,
3,5,1,7,142-2,20,,254,1,1,1,disease
3,5,1,7,142-2,20,,303.75,1,1,1,disease
3,5,1,7,142-2,20,,522,1,1,1,disease
3,5,1,8,204-2,0,,207,1,1,2,
3,5,1,8,204-2,0,,254,1,1,2,
3,5,1,8,204-2,0,,303.75,1,1,3,
3,5,1,8,204-2,0,,352,1,1,1,
3,5,1,9,100-1,10,,109.5,1,1,2,
3,5,1,9,100-1,10,,156.75,1,1,1,
3,5,1,9,100-1,10,,207,1,1,4,
3,5,1,9,100-1,10,,254,1,1,2,
3,5,1,9,100-1,10,,303.75,1,1,1,
3,5,1,10,188-1,15,,207,1,1,2,
3,5,1,10,188-1,15,,254,1,1,2,
3,5,1,10,188-1,15,,303.75,1,1,2,
3,5,1,10,188-1,15,,352,1,1,1,
3,5,1,10,188-1,15,,493.5,1,1,1,
3,5,1,12,134-2,0,,156.75,1,1,3,dry
3,5,1,12,134-2,0,,207,1,1,2,dry
3,5,1,12,134-2,0,,254,1,1,1,dry
3,5,1,12,134-2,0,,303.75,1,1,1,dry
3,5,1,12,134-2,0,,397.5,1,1,1,dry
3,5,1,13,Johnny's,0,,303.75,1,1,1,disease
3,5,1,13,Johnny's,0,,352,1,1,2,disease
3,5,1,13,Johnny's,0,,446,1,1,1,disease
3,5,1,14,137-1,0,,61.75,1,1,1,
3,5,1,14,137-1,0,,109.5,1,1,4,
3,5,1,14,137-1,0,,522,1,1,3,
3,5,1,15,107-1,15,,207,1,1,5,
3,5,1,15,107-1,15,,254,1,1,4,
3,5,1,15,107-1,15,,303.75,1,1,1,
3,5,1,16,Johnny's,10,,207,1,1,2,
3,5,1,16,Johnny's,10,,254,1,1,2,
3,5,1,16,Johnny's,10,,303.75,1,1,1,
3,5,1,16,Johnny's,10,,352,1,1,1,
3,5,1,16,Johnny's,10,,397.5,1,1,1,
3,5,1,17,177-1,0,,109.5,1,1,1,
3,5,1,17,177-1,0,,156.75,1,1,2,
3,5,1,17,177-1,0,,254,1,1,1,
3,5,1,18,204-2,15,,254,1,1,1,
3,5,1,18,204-2,15,,303.75,1,1,2,
3,5,1,19,156-2,0,,207,1,1,3,
3,5,1,19,156-2,0,,254,1,1,1,
3,5,1,19,156-2,0,,303.75,1,1,2,
3,5,1,19,156-2,0,,352,1,1,2,
3,5,1,19,156-2,0,,522,1,1,1,
3,5,1,20,173-2,0,,207,1,1,1,
3,5,1,20,173-2,0,,303.75,1,1,1,
3,5,1,21,118-2,15,,109.5,1,1,2,
3,5,1,21,118-2,15,,156.75,1,1,3,
3,5,1,21,118-2,15,,254,1,1,4,
3,5,1,21,118-2,15,,303.75,1,1,1,
3,5,1,22,174-2,20,,156.75,1,1,1,dry
3,5,1,22,174-2,20,,207,1,1,2,dry
3,5,1,22,174-2,20,,254,1,1,1,dry
3,5,1,22,174-2,20,,352,1,1,1,dry
3,5,1,22,174-2,20,,446,1,1,1,dry
3,5,1,24,133-1,0,,156.75,1,1,1,disease
3,5,1,24,133-1,0,,207,1,1,1,disease
3,5,1,25,125-1,0,,207,1,1,4,
3,5,1,25,125-1,0,,254,1,1,2,
3,5,1,25,125-1,0,,303.75,1,1,1,
3,5,1,26,213-2,20,,156.75,1,1,4,
3,5,1,26,213-2,20,,207,1,1,3,
3,5,1,26,213-2,20,,303.75,1,1,2,
3,5,1,27,173-1,20,,156.75,1,1,2,disease
3,5,1,27,173-1,20,,207,1,1,1,disease
3,5,1,28,156-2,10,,109.5,1,1,1,
3,5,1,28,156-2,10,,254,1,1,7,
