"","X","sampleid","line","rep","run","shelf","plate","trt","read.time","start","end","start.count","end.count","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"42",2199,"CanStaCruz11","170-1",1,1,1,5,10,"1/22/16 8:24",54,101.9,0,4,4,"","14CAg170-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"43",2185,"CanStaCruz11","170-1",1,1,1,5,10,"1/24/16 8:50",101.9,150.33,4,6,2,"","14CAg170-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"44",2161,"CanStaCruz11","170-1",1,1,1,5,10,"1/26/16 8:37",150.33,198.12,6,6,0,"","14CAg170-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"45",2197,"CanStaCruz11","170-1",1,1,1,5,10,"1/28/16 8:28",198.12,245.97,6,6,0,"","14CAg170-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"46",2189,"CanStaCruz11","170-1",1,1,1,5,10,"1/30/16 9:25",245.97,294.92,6,6,0,"","14CAg170-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"47",2198,"CanStaCruz11","170-1",1,1,1,5,10,"2/1/16 8:32",294.92,342.03,6,6,0,"","14CAg170-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"48",2183,"CanStaCruz11","170-1",1,1,1,5,10,"2/3/16 8:23",342.03,389.88,6,6,0,"","14CAg170-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"49",2182,"CanStaCruz11","170-1",1,1,1,5,10,"2/5/16 8:08",389.88,437.63,6,6,0,"","14CAg170-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"50",2163,"CanStaCruz11","170-1",1,1,1,5,10,"",437.63,Inf,6,10,4,"","14CAg170-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"51",2226,"CanStaCruz14","173-1",1,1,1,6,10,"1/20/16 8:30",0,54,0,0,0,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"52",2238,"CanStaCruz14","173-1",1,1,1,6,10,"1/22/16 8:24",54,101.9,0,1,1,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"53",2242,"CanStaCruz14","173-1",1,1,1,6,10,"1/24/16 8:50",101.9,150.33,1,5,4,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"54",2225,"CanStaCruz14","173-1",1,1,1,6,10,"1/26/16 8:37",150.33,198.12,5,6,1,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
