,sampleid,line,rep,run,shelf,plate,trt,read.time,start,end,start.count,end.count,germinated,notes,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
1051,CanLobera1,140-1,1,1,1,14,0,2/3/16 8:23,342.03,389.88,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1033,CanLobera1,140-1,1,1,1,14,0,2/5/16 8:08,389.88,437.63,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1042,CanLobera1,140-1,1,1,1,14,0,,437.63,Inf,3,10,7,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
269,CanAnil7,81-2,1,1,1,15,20,1/20/16 8:30,0,54,0,0,0,,14CAm81-2,11/10/14,Cam,4,W Coast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry
260,CanAnil7,81-2,1,1,1,15,20,1/22/16 8:24,54,101.9,0,0,0,,14CAm81-2,11/10/14,Cam,4,W Coast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry
233,CanAnil7,81-2,1,1,1,15,20,1/24/16 8:50,101.9,150.33,0,1,1,,14CAm81-2,11/10/14,Cam,4,W Coast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry
240,CanAnil7,81-2,1,1,1,15,20,1/26/16 8:37,150.33,198.12,1,8,7,,14CAm81-2,11/10/14,Cam,4,W Coast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry
232,CanAnil7,81-2,1,1,1,15,20,1/28/16 8:28,198.12,245.97,8,9,1,,14CAm81-2,11/10/14,Cam,4,W Coast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry
267,CanAnil7,81-2,1,1,1,15,20,1/30/16 9:25,245.97,294.92,9,9,0,,14CAm81-2,11/10/14,Cam,4,W Coast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry
254,CanAnil7,81-2,1,1,1,15,20,2/1/16 8:32,294.92,342.03,9,9,0,,14CAm81-2,11/10/14,Cam,4,W Coast,CAm_1,landrace,Costeno Amarillo,Plantation,Dry
